split,review_fraction,analysis_type,metric,point,ci_low,ci_high,bootstrap_repeats,bootstrap_valid_repeats
group_epd_source,0.1,topk_prediction,review_savings_vs_random,2676.8857715430863,2505.577131526768,2855.5412047521318,1000,1000
group_epd_source,0.1,topk_prediction,review_savings_fraction_vs_random,0.8539021727179047,0.8454570269803898,0.8617792952675084,1000,1000
group_epd_source,0.1,topk_prediction,roc_auc,0.9512492469601781,0.9416677691481831,0.9603891920644447,1000,1000
group_epd_source,0.1,topk_prediction,average_precision,0.7937708180901538,0.7628953728194936,0.8240298565717109,1000,1000
group_epd_source,0.2,topk_prediction,n_test,4574.0,4574.0,4574.0,1000,1000
group_epd_source,0.2,topk_prediction,reviewed_count,915.0,915.0,915.0,1000,1000
group_epd_source,0.2,topk_prediction,true_high_carbon_total,499.0,461.0,540.025,1000,1000
group_epd_source,0.2,topk_prediction,true_high_carbon_captured,432.0,398.0,466.0,1000,1000
group_epd_source,0.2,topk_prediction,false_positive_reviews,483.0,449.0,517.0,1000,1000
group_epd_source,0.2,topk_prediction,base_positive_rate,0.10909488412767818,0.10078705728027984,0.11806405771753388,1000,1000
group_epd_source,0.2,topk_prediction,topk_precision,0.4721311475409836,0.4349726775956284,0.5092896174863388,1000,1000
group_epd_source,0.2,topk_prediction,topk_recall_capture,0.8657314629258517,0.8389121338912134,0.8951830479733748,1000,1000
group_epd_source,0.2,topk_prediction,topk_lift,4.327711160024968,4.193643825593891,4.474936897737941,1000,1000
group_epd_source,0.2,topk_prediction,reviews_per_true_high_carbon,2.1180555555555554,1.963519313304721,2.298994974874372,1000,1000
group_epd_source,0.2,topk_prediction,random_reviews_per_true_high_carbon,9.16633266533066,8.469978948449373,9.921908893709327,1000,1000
group_epd_source,0.2,topk_prediction,random_reviews_for_same_true_high_carbon_capture,3959.855711422846,3837.18410041841,4094.5672614302166,1000,1000
group_epd_source,0.2,topk_prediction,review_savings_vs_random,3044.855711422846,2922.18410041841,3179.5672614302166,1000,1000
group_epd_source,0.2,topk_prediction,review_savings_fraction_vs_random,0.7689309745906816,0.7615438884206187,0.7765331614730759,1000,1000
group_epd_source,0.2,topk_prediction,roc_auc,0.9512492469601781,0.9421860421757068,0.9601953367325985,1000,1000
group_epd_source,0.2,topk_prediction,average_precision,0.7937708180901538,0.7633941899692277,0.8227617819009382,1000,1000
group_epd_source,0.2,procurement_opportunity,captured_high_carbon_with_comparable_group,431.0,399.0,459.025,1000,1000
group_epd_source,0.2,procurement_opportunity,comparable_group_coverage_true_high_carbon,0.9976851851851852,0.9927351937929694,1.0,1000,1000
group_epd_source,0.2,procurement_opportunity,median_relative_reduction_to_p25_true_high_carbon,0.3178082191780823,0.28774307939711763,0.34221846573554154,1000,1000
group_epd_source,0.2,procurement_opportunity,median_absolute_reduction_to_p25_true_high_carbon,52.33333333333333,47.33333333333333,55.91666666666667,1000,1000
group_epd_source,0.2,procurement_opportunity,share_true_high_carbon_with_10pct_opportunity,0.7470997679814385,0.7074788451966152,0.7885209946047383,1000,1000
group_epd_source,0.2,procurement_opportunity,share_true_high_carbon_with_20pct_opportunity,0.6635730858468677,0.6208425720620843,0.7099785197427666,1000,1000
temporal_latest20,0.1,topk_prediction,n_test,9629.0,9629.0,9629.0,1000,1000
temporal_latest20,0.1,topk_prediction,reviewed_count,963.0,963.0,963.0,1000,1000
temporal_latest20,0.1,topk_prediction,true_high_carbon_total,812.0,757.975,867.025,1000,1000
temporal_latest20,0.1,topk_prediction,true_high_carbon_captured,644.0,608.0,685.0,1000,1000
temporal_latest20,0.1,topk_prediction,false_positive_reviews,319.0,278.0,355.0,1000,1000
temporal_latest20,0.1,topk_prediction,base_positive_rate,0.08432859071554678,0.07871793540346869,0.09004309897185585,1000,1000
temporal_latest20,0.1,topk_prediction,topk_precision,0.6687435098650052,0.6313603322949117,0.711318795430945,1000,1000
temporal_latest20,0.1,topk_prediction,topk_recall_capture,0.7931034482758621,0.7679873112882989,0.8185127135093168,1000,1000
temporal_latest20,0.1,topk_prediction,topk_lift,7.930210907007556,7.6790756182710584,8.184277173812266,1000,1000
temporal_latest20,0.1,topk_prediction,reviews_per_true_high_carbon,1.4953416149068324,1.4058394160583942,1.5838815789473684,1000,1000
temporal_latest20,0.1,topk_prediction,random_reviews_per_true_high_carbon,11.858374384236454,11.105793156921212,12.703585750236142,1000,1000
