target,split,positive_rate_overall,agreement_with_primary,jaccard_with_primary,cohens_kappa_with_primary,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,brier_score,ece_10_bins,top_5pct_precision,top_5pct_recall_capture,top_5pct_lift,top_10pct_precision,top_10pct_recall_capture,top_10pct_lift,top_20pct_precision,top_20pct_recall_capture,top_20pct_lift,top_30pct_precision,top_30pct_recall_capture,top_30pct_lift,n_test,prevalence
primary_gwp_per_ksi,group_company,0.10045399322207302,1.0,1.0,1.0,0.9571441729811152,0.8260682632339547,0.9478880407124682,0.8311973619260382,0.75,0.8366013071895425,0.679646017699115,0.9827487061529615,0.04241749630341065,0.019073828750029907,0.967479674796748,0.42123893805309737,8.411936110511547,0.8016276703967447,0.6973451327433628,6.9699043023433775,0.5038167938931297,0.8761061946902655,4.380530973451327,0.366010854816825,0.9548672566371681,3.1823510164383233,9825,0.11501272264631043
primary_gwp_per_ksi,group_epd_source,0.10045399322207302,1.0,1.0,1.0,0.9580505796869812,0.8067687013510291,0.9422824661128115,0.8269186225211158,0.7197452229299363,0.7652370203160271,0.6793587174348698,0.974478527607362,0.04451356984417848,0.023925594556207554,0.925764192139738,0.4248496993987976,8.485862554803932,0.7620087336244541,0.6993987975951904,6.984825546289085,0.48633879781420764,0.8917835671342685,4.457943208822016,0.34741442097596503,0.9559118236472945,3.184516155398926,4574,0.10909488412767818
primary_gwp_per_ksi,temporal_latest20,0.10045399322207302,1.0,1.0,1.0,0.9652051343938686,0.8072014877825613,0.9537854398172189,0.847300138391408,0.7241165530068195,0.7290886392009988,0.7192118226600985,0.9753884541227175,0.03454195533305052,0.017812663955897916,0.8838174273858921,0.5246305418719212,10.480637941254624,0.6625129802699896,0.7857142857142857,7.856326954457796,0.39511941848390447,0.937192118226601,4.685473990863937,0.27137417791623397,0.9655172413793104,3.2180565999450947,9629,0.08432859071554678
within_strength_class,group_company,0.10130656265319607,0.889,0.2902,0.3881,0.8390648571591295,0.521076998745184,0.7966412213740458,0.5930860536544162,0.33311081441922563,0.5532150776053215,0.23829990448901622,0.9478722028198163,0.135489108613214,0.07495934071268388,0.6077235772357723,0.14278892072588348,2.8514250937638312,0.5635808748728383,0.26456542502387775,2.644308546144048,0.5368956743002544,0.5038204393505253,2.5191021967526264,0.5040705563093623,0.7096466093600764,2.3650874955775953,9825,0.2131297709923664
within_strength_class,group_epd_source,0.10130656265319607,0.889,0.2902,0.3881,0.894135533326051,0.551199220768254,0.929602098819414,0.6836479838851521,0.48231511254019294,0.6382978723404256,0.3875968992248062,0.9796990685454979,0.054105715261091925,0.014625236938506338,0.6506550218340611,0.3850129198966408,7.690170723175699,0.5,0.5917312661498708,5.909560723514212,0.34316939890710385,0.8113695090439277,4.055960802586804,0.2498179169701384,0.8863049095607235,2.952628300313729,4574,0.08460865763008307
within_strength_class,temporal_latest20,0.10130656265319607,0.889,0.2902,0.3881,0.9099921149286598,0.6478988217365415,0.9371689687402638,0.7667075673533534,0.6073977936404932,0.6628895184135978,0.5604790419161677,0.972936092790539,0.04878726667171442,0.021328989093003816,0.7551867219917012,0.4359281437125748,8.708614306656397,0.5638629283489096,0.6502994011976048,6.502318727031917,0.3541017653167186,0.8167664670658683,4.083408261358902,0.2599515403253721,0.8994011976047904,2.9976926728059974,9629,0.08671720843285907
gwp_per_declared_unit,group_company,0.10077370675874417,0.8465,0.1346,0.1519,0.9156189383561644,0.7804084749574622,0.8918066157760814,0.8003347602739725,0.6921517520996235,0.734029484029484,0.6547945205479452,0.945875,0.07909356003703677,0.027665298454816554,0.9634146341463414,0.25972602739726025,5.186602071500167,0.9114954221770092,0.49095890410958903,4.907091793363899,0.6595419847328244,0.7101369863013699,3.5506849315068494,0.512550881953867,0.827945205479452,2.759349268600955,9825,0.18575063613231552
gwp_per_declared_unit,group_epd_source,0.10077370675874417,0.8465,0.1346,0.1519,0.8665872596765046,0.45857495355330474,0.934849147354613,0.6836402041894033,0.4419475655430712,0.502127659574468,0.39464882943143814,0.9726315789473684,0.05066930068953129,0.03112044504184914,0.5152838427947598,0.39464882943143814,7.882636444626192,0.35807860262008734,0.5484949832775919,5.477764308977523,0.23387978142076501,0.7157190635451505,3.577813111098927,0.17916970138383104,0.822742474916388,2.7408769703332547,4574,0.06536947966768693
gwp_per_declared_unit,temporal_latest20,0.10077370675874417,0.8465,0.1346,0.1519,0.9344627200129751,0.7679682383319749,0.9477619690518226,0.8086451696845178,0.6934795856185253,0.7596795727636849,0.6378923766816144,0.9793979626874213,0.040888099321412935,0.01618980180996757,0.9024896265560166,0.4876681614349776,9.742233872318256,0.6500519210799585,0.7017937219730942,7.017208461971883,0.39927310488058154,0.8621076233183856,4.310090501003497,0.2803738317757009,0.9080717488789237,3.0265915091572015,9629,0.09263682625402431
gwp_per_sqrt_strength,group_company,0.10015559392117995,0.9268,0.4651,0.5942,0.8396055718479335,0.49149389097065077,0.8367430025445293,0.6020645901950987,0.339917695473251,0.559620596205962,0.24408983451536642,0.960039345874831,0.11781970977557572,0.06333305458171727,0.5873983739837398,0.17080378250591016,3.4108682177247305,0.5350966429298067,0.3108747044917258,3.1071657900622642,0.4737913486005089,0.5502364066193853,2.751182033096927,0.4121438263229308,0.7180851063829787,2.3932110482404227,9825,0.17221374045801527
gwp_per_sqrt_strength,group_epd_source,0.10015559392117995,0.9268,0.4651,0.5942,0.9140285202859204,0.5933162345930814,0.9234805421950153,0.7518949263414837,0.5668316831683168,0.5948051948051948,0.541371158392435,0.9624186942905324,0.05807777084059571,0.023057883988509473,0.7161572052401747,0.3877068557919622,7.743978857608886,0.5414847161572053,0.5862884160756501,5.855203526484768,0.3814207650273224,0.8250591016548463,4.124393804337997,0.28404952658412236,0.9219858156028369,3.071495353654316,4574,0.0924792304328815
gwp_per_sqrt_strength,temporal_latest20,0.10015559392117995,0.9268,0.4651,0.5942,0.9193156883500658,0.6709875391045609,0.9386229099594974,0.7805360755969413,0.6218809980806143,0.6576454668470907,0.5898058252427184,0.9712663259511641,0.04563178227473648,0.01615814829028058,0.7634854771784232,0.44660194174757284,8.921846674455141,0.6002076843198338,0.7014563106796117,7.013834699412233,0.37019730010384216,0.8652912621359223,4.326007042111525,0.2599515403253721,0.9114077669902912,3.0377104147973397,9629,0.08557482604631841
gwp_per_strength_pow075,group_company,0.10034742204318264,0.9742,0.7722,0.8571,0.9151495305490522,0.6975222141814527,0.9131806615776081,0.752065807848564,0.6247250329960404,0.7593582887700535,0.5306427503736921,0.9734888653234358,0.0699117385437973,0.03939947962029801,0.8292682926829268,0.30493273542600896,6.089357978781581,0.7436419125127162,0.546337817638266,5.460599245468936,0.5206106870229008,0.7645739910313901,3.8228699551569507,0.3914518317503392,0.8624813153961136,2.874450109825921,9825,0.13618320610687024
gwp_per_strength_pow075,group_epd_source,0.10034742204318264,0.9742,0.7722,0.8571,0.9401686460141574,0.7295726658685492,0.9311324879755137,0.7965467842294565,0.6557377049180327,0.6880733944954128,0.6263048016701461,0.9667887667887668,0.052466149916644146,0.03020344538768357,0.8733624454148472,0.4175365344467641,8.339790867072049,0.6746724890829694,0.6450939457202505,6.442488444813157,0.4557377049180328,0.8705636743215032,4.351866935897875,0.32702112163146396,0.9373695198329853,3.122744489232393,4574,0.10472234368167906
gwp_per_strength_pow075,temporal_latest20,0.10034742204318264,0.9742,0.7722,0.8571,0.9482729010142159,0.7479827172214948,0.9512929691556755,0.8269069700055894,0.696046662346079,0.715046604527297,0.678030303030303,0.9757836369808759,0.03836241418300207,0.018120757164678862,0.8153526970954357,0.4962121212121212,9.91291808122721,0.6261682242990654,0.7613636363636364,7.612845747191541,0.37590861889927313,0.9141414141414141,4.570232438612501,0.2585669781931464,0.9431818181818182,3.1436129204820786,9629,0.08225153183092741
