algorithm,split,selected_candidate,threshold_from_inner_training,n_train,n_test,test_positive_rate,fit_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity
CARM-Boost single model,group_company,CARM_Boost_B,0.2782974779605864,35614,3216,0.09732587064676616,56.636,0.9371114380958774,0.6913018119326938,0.8893034825870647,0.8560220285503924,0.5889145496535797,0.46112115732368897,0.8146964856230032,0.8973475714777817
CARM-Boost single model,temporal_latest20,CARM_Boost_D,0.6157033190040874,31043,7787,0.08321561576987287,52.069,0.9556678970841785,0.7526538625036326,0.9300115577244125,0.8629084242528002,0.6504169339320077,0.5565312843029637,0.7824074074074074,0.943409441098193
