algorithm,split,selected_candidate,threshold,n_train,n_test,test_positive_rate,fit_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity
CARM-Boost fixed single model,group_company,CARM_Boost_fixed_domain_10k,0.5,35614,3216,0.09732587064676616,32.934,0.9400372425132534,0.6844349159395681,0.9207089552238806,0.8064330278581483,0.6199701937406855,0.5810055865921788,0.6645367412140575,0.9483293145022391
CARM-Boost fixed single model,temporal_latest20,CARM_Boost_fixed_domain_10k,0.5,31043,7787,0.08321561576987287,31.32,0.9574059807110653,0.7679637533040601,0.9225632464363683,0.8602493649039618,0.6280074028377545,0.5231243576567317,0.7854938271604939,0.9350049026474296
