split,review_fraction,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width
temporal_latest20,0.1,row_level,row,9629,capture,0.7857142857142857,0.7599016063024496,0.8149567490494297,0.05505514274698009
temporal_latest20,0.1,row_level,row,9629,precision,0.6625129802699896,0.6261422637590861,0.7009345794392523,0.0747923156801662
temporal_latest20,0.1,row_level,row,9629,median_relative_reduction_to_p25_true_high_carbon,0.3248376623376623,0.2985288630377524,0.34458300626029426,0.046054143222541866
temporal_latest20,0.1,row_level,row,9629,share_true_high_carbon_with_10pct_opportunity,0.8517350157728707,0.7683214634827538,0.8527568251597378,0.08443536167698407
temporal_latest20,0.1,row_level,row,9629,share_true_high_carbon_with_20pct_opportunity,0.7618296529968455,0.6751065591219813,0.7729323418449995,0.09782578272301823
temporal_latest20,0.1,cluster_company,company,72,capture,0.7857142857142857,0.6822100372751336,0.8850302561215874,0.20282021884645374
temporal_latest20,0.1,cluster_company,company,72,precision,0.6625129802699896,0.47586869975262835,0.7620527194656488,0.28618401971302043
temporal_latest20,0.1,cluster_company,company,72,median_relative_reduction_to_p25_true_high_carbon,0.3248376623376623,0.23621681739384698,0.3578773637529983,0.1216605463591513
temporal_latest20,0.1,cluster_company,company,72,share_true_high_carbon_with_10pct_opportunity,0.8517350157728707,0.6813218799072759,0.8611197454114862,0.17979786550421029
temporal_latest20,0.1,cluster_company,company,72,share_true_high_carbon_with_20pct_opportunity,0.7618296529968455,0.5655057207886076,0.7676737063999338,0.2021679856113262
temporal_latest20,0.1,cluster_plant,plant,351,capture,0.7857142857142857,0.7222881760963953,0.8434163190823775,0.12112814298598218
temporal_latest20,0.1,cluster_plant,plant,351,precision,0.6625129802699896,0.5925434027777777,0.7282215600509029,0.13567815727312516
temporal_latest20,0.1,cluster_plant,plant,351,median_relative_reduction_to_p25_true_high_carbon,0.3248376623376623,0.2920106508937739,0.35260419647456076,0.060593545580786834
temporal_latest20,0.1,cluster_plant,plant,351,share_true_high_carbon_with_10pct_opportunity,0.8517350157728707,0.7626547769984253,0.8579370944484499,0.09528231745002458
temporal_latest20,0.1,cluster_plant,plant,351,share_true_high_carbon_with_20pct_opportunity,0.7618296529968455,0.6666158536585366,0.7819915070459187,0.1153756533873821
temporal_latest20,0.1,cluster_source,source,73,capture,0.7857142857142857,0.673487561601005,0.8862093030616336,0.2127217414606286
temporal_latest20,0.1,cluster_source,source,73,precision,0.6625129802699896,0.478498964935596,0.7590372350348623,0.2805382700992663
temporal_latest20,0.1,cluster_source,source,73,median_relative_reduction_to_p25_true_high_carbon,0.3248376623376623,0.2506558447630923,0.3578938721024591,0.10723802733936683
temporal_latest20,0.1,cluster_source,source,73,share_true_high_carbon_with_10pct_opportunity,0.8517350157728707,0.7002981651376147,0.8608629969400843,0.1605648318024696
temporal_latest20,0.1,cluster_source,source,73,share_true_high_carbon_with_20pct_opportunity,0.7618296529968455,0.5887127990799698,0.7676478015448605,0.1789350024648907
temporal_latest20,0.1,block_issue_quarter,issue_block,12,capture,0.7857142857142857,0.7530617080457402,0.8419791206437188,0.08891741259797858
temporal_latest20,0.1,block_issue_quarter,issue_block,12,precision,0.6625129802699896,0.5641278109751131,0.7087786523795322,0.14465084140441908
temporal_latest20,0.1,block_issue_quarter,issue_block,12,median_relative_reduction_to_p25_true_high_carbon,0.3248376623376623,0.28030590065276356,0.3468383214220702,0.06653242076930665
temporal_latest20,0.1,block_issue_quarter,issue_block,12,share_true_high_carbon_with_10pct_opportunity,0.8517350157728707,0.720280237373121,0.8619735086716218,0.14169327129850084
temporal_latest20,0.1,block_issue_quarter,issue_block,12,share_true_high_carbon_with_20pct_opportunity,0.7618296529968455,0.6344020456333596,0.7752725261464198,0.14087048051306028
temporal_latest20,0.2,row_level,row,9629,capture,0.9408866995073891,0.9223219028674119,0.9550575807671832,0.032735677899771276
temporal_latest20,0.2,row_level,row,9629,precision,0.39667705088265837,0.3701843198338525,0.42161214953271026,0.05142782969885773
temporal_latest20,0.2,row_level,row,9629,median_relative_reduction_to_p25_true_high_carbon,0.327115278760714,0.3037934251668066,0.3413552135678392,0.037561788401032636
temporal_latest20,0.2,row_level,row,9629,share_true_high_carbon_with_10pct_opportunity,0.8710526315789474,0.7919540240656745,0.868791936625679,0.0768379125600045
temporal_latest20,0.2,row_level,row,9629,share_true_high_carbon_with_20pct_opportunity,0.7894736842105263,0.7098415011514104,0.7948840381991814,0.08504253704777098
temporal_latest20,0.2,cluster_company,company,72,capture,0.9408866995073891,0.8834624057919411,0.9770718819202784,0.09360947612833725
temporal_latest20,0.2,cluster_company,company,72,precision,0.39667705088265837,0.2696032998093736,0.49753572746928226,0.22793242765990868
temporal_latest20,0.2,cluster_company,company,72,median_relative_reduction_to_p25_true_high_carbon,0.327115278760714,0.2562671624713959,0.376370292483408,0.12010313001201206
temporal_latest20,0.2,cluster_company,company,72,share_true_high_carbon_with_10pct_opportunity,0.8710526315789474,0.7206442831215971,0.87805314836816,0.15740886524656283
temporal_latest20,0.2,cluster_company,company,72,share_true_high_carbon_with_20pct_opportunity,0.7894736842105263,0.6075466626090484,0.7913406210688161,0.18379395845976765
temporal_latest20,0.2,cluster_plant,plant,351,capture,0.9408866995073891,0.9022459770922633,0.9631163399813203,0.060870362889057006
temporal_latest20,0.2,cluster_plant,plant,351,precision,0.39667705088265837,0.3429374228077398,0.45253462986895676,0.10959720706121695
temporal_latest20,0.2,cluster_plant,plant,351,median_relative_reduction_to_p25_true_high_carbon,0.327115278760714,0.29237009194831015,0.3543241793120126,0.06195408736370245
temporal_latest20,0.2,cluster_plant,plant,351,share_true_high_carbon_with_10pct_opportunity,0.8710526315789474,0.784275641025641,0.8784065271966527,0.09413088617101173
temporal_latest20,0.2,cluster_plant,plant,351,share_true_high_carbon_with_20pct_opportunity,0.7894736842105263,0.6929544063647491,0.8054330372514985,0.11247863088674936
temporal_latest20,0.2,cluster_source,source,73,capture,0.9408866995073891,0.8765747973252855,0.9773760526815678,0.10080125535628226
temporal_latest20,0.2,cluster_source,source,73,precision,0.39667705088265837,0.26533847914256536,0.5015718829516539,0.23623340380908853
temporal_latest20,0.2,cluster_source,source,73,median_relative_reduction_to_p25_true_high_carbon,0.327115278760714,0.25184912221254074,0.37322811607173584,0.1213789938591951
temporal_latest20,0.2,cluster_source,source,73,share_true_high_carbon_with_10pct_opportunity,0.8710526315789474,0.7092608190531513,0.8734953361834434,0.16423451713029213
temporal_latest20,0.2,cluster_source,source,73,share_true_high_carbon_with_20pct_opportunity,0.7894736842105263,0.5983425891064257,0.7904475750238462,0.19210498591742053
temporal_latest20,0.2,block_issue_quarter,issue_block,12,capture,0.9408866995073891,0.8936536264991434,0.961283171376268,0.06762954487712458
temporal_latest20,0.2,block_issue_quarter,issue_block,12,precision,0.39667705088265837,0.3107000009797246,0.44186582668721935,0.13116582570749474
temporal_latest20,0.2,block_issue_quarter,issue_block,12,median_relative_reduction_to_p25_true_high_carbon,0.327115278760714,0.28082843023493925,0.35391923990498814,0.07309080967004888
temporal_latest20,0.2,block_issue_quarter,issue_block,12,share_true_high_carbon_with_10pct_opportunity,0.8710526315789474,0.7458992124119145,0.8791106155306221,0.1332114031187076
temporal_latest20,0.2,block_issue_quarter,issue_block,12,share_true_high_carbon_with_20pct_opportunity,0.7894736842105263,0.6650881724117605,0.7977139840831574,0.13262581167139686
