feature_set,split,target_quantile,n_train,n_test,test_positive_rate,majority_class_accuracy,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,fit_seconds
metadata_only,random_row,0.9,31064,7766,0.1000515065670873,0.8999484934329127,0.971293739214758,0.8492635082173634,0.9161730620654134,0.9139615976788676,0.6850507982583455,0.5488372093023256,0.9111969111969112,0.9167262841608241,13.009
metadata_only,group_company,0.9,35614,3216,0.09732587064676616,0.9026741293532339,0.9402413939969558,0.692327627927383,0.9210199004975125,0.7937783872362951,0.6104294478527608,0.5870206489675516,0.6357827476038339,0.9517740268687565,11.819
metadata_only,group_epd_source,0.9,28458,10372,0.10759737755495564,0.8924026224450443,0.9424013059048397,0.7485953861370249,0.8994408021596606,0.8380635790249781,0.6192040890836071,0.5224892174984597,0.7598566308243727,0.9162705272255834,11.474
metadata_only,temporal_latest20,0.9,31043,7787,0.08321561576987287,0.9167843842301271,0.9369264032207022,0.6837328830820031,0.8968794144086297,0.8343151598159302,0.5506435366536094,0.43195785776997364,0.7592592592592593,0.9093710603726012,11.31
metadata_plus_lci_sources,random_row,0.9,31064,7766,0.1000515065670873,0.8999484934329127,0.9831479068136674,0.9007609211954961,0.9421838784445017,0.9289848379131538,0.7595072308516336,0.6504587155963303,0.9124839124839125,0.9454857633423952,29.104
metadata_plus_lci_sources,group_company,0.9,35614,3216,0.09732587064676616,0.9026741293532339,0.9399811146120736,0.6978960676706732,0.9228855721393034,0.8275915957822634,0.6416184971098265,0.5857519788918206,0.7092651757188498,0.9459180158456769,27.76
metadata_plus_lci_sources,group_epd_source,0.9,28458,10372,0.10759737755495564,0.8924026224450443,0.9484623748849917,0.7440890349290137,0.9030080987273429,0.8581867268891552,0.6399427344309234,0.532777115613826,0.8010752688172043,0.9152981849611063,26.063
metadata_plus_lci_sources,temporal_latest20,0.9,31043,7787,0.08321561576987287,0.9167843842301271,0.9565980598659078,0.7614566643270804,0.9260305637601131,0.8593341175839893,0.6368221941992434,0.5383795309168443,0.779320987654321,0.9393472475136574,26.591
