split,strategy,n_test,prevalence,top_10pct_capture,top_10pct_precision,top_10pct_lift,top_10pct_review_saving,top_10pct_median_opportunity,top_10pct_share_opportunity_ge_10,top_20pct_capture,top_20pct_precision,top_20pct_lift,top_20pct_review_saving,top_20pct_median_opportunity,top_20pct_share_opportunity_ge_10,supplier_history_coverage
group_company,ACRM (proposed),9825,0.11501272264631043,0.6991150442477876,0.8044806517311609,6.994710091379341,0.85703481817889,0.17676767676767663,0.7834394904458599,0.8716814159292036,0.5012722646310432,4.3584070796460175,0.7705583756345178,0.18574324324324318,0.813265306122449,
group_company,Unordered review,9825,0.11501272264631043,0.08141592920353982,0.09368635437881874,0.814573833426455,-0.22763580042040044,0.20968651927077808,0.8695652173913043,0.17964601769911503,0.10330788804071246,0.8982300884955752,-0.11330049261083741,0.19086021505376347,0.8423645320197044,
group_company,Arrival order (oldest first),9825,0.11501272264631043,0.08230088495575222,0.09470468431771895,0.8234278968332642,-0.2144354154696435,0.17507418397626112,0.6559139784946236,0.20619469026548673,0.11857506361323156,1.0309734513274336,0.030042918454935674,0.1788413098236775,0.7682403433476395,
group_company,Highest declared strength first,9825,0.11501272264631043,0.0,0.0,0.0,,,,0.002654867256637168,0.0015267175572519084,0.01327433628318584,-74.33333333333333,0.3738170347003154,1.0,
group_company,Lowest declared strength first,9825,0.11501272264631043,0.4654867256637168,0.5356415478615071,4.657237351981688,0.7852804303447208,0.16388888888888886,0.6986564299424184,0.7486725663716814,0.4305343511450382,3.7433628318584073,0.7328605200945626,0.17468354430379726,0.7990487514863258,
group_company,No declared SCM first,9825,0.11501272264631043,0.20619469026548673,0.23727087576374745,2.062996773786565,0.5152682676451638,0.21634615384615366,0.9484978540772532,0.41858407079646015,0.2407124681933842,2.0929203539823007,0.522198731501057,0.21634615384615366,0.9385593220338984,
group_company,Supplier carbon history,9825,0.11501272264631043,0.050442477876106194,0.05804480651731161,0.5046816141881297,-0.9814472568188919,0.23653395784543318,0.7358490566037735,0.15221238938053097,0.08753180661577609,0.7610619469026549,-0.31395348837209314,0.19106699751861034,0.7916666666666666,0.0
group_company,Highest declared GWP first,9825,0.11501272264631043,0.09292035398230089,0.10692464358452139,0.9296766577149758,-0.07564279655882711,0.32291666666666663,0.9809523809523809,0.2097345132743363,0.12061068702290076,1.0486725663716814,0.04641350210970463,0.3028571428571429,0.9789029535864979,
group_epd_source,ACRM (proposed),4574,0.10909488412767818,0.6993987975951904,0.7636761487964989,7.000109628447267,0.857145094423069,0.29072681704260667,0.6811594202898551,0.8937875751503006,0.48743169398907105,4.467961058729481,0.7761842623837992,0.3217693148583759,0.748868778280543,
group_epd_source,Unordered review,4574,0.10909488412767818,0.08216432865731463,0.08971553610503283,0.8223624491872148,-0.2160088303987544,0.2942370129870131,0.6410256410256411,0.22444889779559118,0.12240437158469945,1.1219991896361028,0.10873375913548622,0.29064791825821246,0.7363636363636363,
