design,replicate,n_train,n_companies_test,company_overlap,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,brier_score,ece_10_bins,top_5pct_precision,top_5pct_recall_capture,top_5pct_lift,top_10pct_precision,top_10pct_recall_capture,top_10pct_lift,top_20pct_precision,top_20pct_recall_capture,top_20pct_lift,top_30pct_precision,top_30pct_recall_capture,top_30pct_lift,n_test,prevalence,runtime_s
company_and_time,1,28314,20,0,0.9475539038221255,0.7126961913659923,0.9455357142857143,0.8351274575764371,0.6772486772486772,0.6530612244897959,0.7032967032967034,0.966958211856171,0.04619109234758125,0.04516338949703568,0.8035714285714286,0.4945054945054945,9.89010989010989,0.5803571428571429,0.7142857142857143,7.142857142857143,0.375,0.9230769230769231,4.615384615384615,0.25892857142857145,0.9560439560439561,3.186813186813187,1120,0.08125,121.7
company_and_time,2,30733,18,0,0.9014302547131969,0.7275864098994753,0.8567335243553008,0.6964625952667469,0.5495495495495496,0.782051282051282,0.4236111111111111,0.9693140794223827,0.11026574067134419,0.09123523069769082,0.9142857142857143,0.2222222222222222,4.431746031746031,0.8,0.3888888888888889,3.8777777777777778,0.6642857142857143,0.6458333333333334,3.219940476190476,0.5523809523809524,0.8055555555555556,2.6775132275132276,698,0.20630372492836677,124.0
company_and_time,3,30161,19,0,0.9490700308829485,0.6824689779971037,0.9243743199129488,0.7139340319967599,0.5530546623794212,0.7226890756302521,0.4479166666666667,0.979951397326853,0.059294969639530286,0.047166628388704404,0.7282608695652174,0.3489583333333333,6.971580615942029,0.657608695652174,0.6302083333333334,6.295233242753623,0.4592391304347826,0.8802083333333334,4.396257925724638,0.3333333333333333,0.9583333333333334,3.190972222222222,1838,0.1044613710554951,134.4
company_and_time,4,25296,16,0,0.9351078138857264,0.6777148701344798,0.9417743324720069,0.7231364187742004,0.5688775510204082,0.7433333333333333,0.4607438016528926,0.9855290358955083,0.04564409897529536,0.026032448126703443,0.7457044673539519,0.44834710743801653,8.943831473119197,0.5593803786574871,0.6714876033057852,6.709097310137837,0.3669250645994832,0.8801652892561983,4.400826446280992,0.25602755453501724,0.9214876033057852,3.0707437067681305,5805,0.08337639965546942,109.0
company_and_time,5,36322,18,0,0.9797862673112572,0.8589760690639667,0.9697097181320993,0.8677365417469376,0.71875,0.6865671641791045,0.7540983606557377,0.9813747228381374,0.020129211566030904,0.015945678281517852,0.7563025210084033,0.7377049180327869,14.73550075768012,0.4579831932773109,0.8934426229508197,8.923164347706294,0.24789915966386555,0.9672131147540983,4.82996969279515,0.16946778711484595,0.9918032786885246,3.30184368829499,2377,0.05132519983172066,148.3
new_entrants,1,37644,36,0,0.9575909675909675,0.7636982707940345,0.9556744363775316,0.833019773019773,0.6759776536312849,0.6612021857923497,0.6914285714285714,0.9746109746109746,0.032151351413510554,0.017554531662523975,0.7709923664122137,0.5771428571428572,11.529640130861504,0.5305343511450382,0.7942857142857143,7.9337622682660855,0.30916030534351147,0.9257142857142857,4.623271537622683,0.2099236641221374,0.9428571428571428,3.139258451472192,2617,0.06687046236148261,
