feature_set,split,target_quantile,n_train,n_test,test_positive_rate,majority_class_accuracy,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity
metadata_plus_lci_sources,group_company,0.75,35614,3216,0.2269900497512438,0.7730099502487562,0.8955752212389381,0.7282049187533549,0.8547885572139303,0.8035073121810907,0.6892880904856953,0.6701164294954722,0.7095890410958904,0.8974255832662912
metadata_plus_lci_sources,temporal_latest20,0.75,31043,7787,0.2040580454603827,0.7959419545396174,0.9181590581910851,0.7694931885814822,0.8778733787081032,0.8111994754189977,0.7000946073793756,0.7016434892541087,0.6985525487728131,0.9238464020651823
metadata_plus_lci_sources,group_company,0.8,35614,3216,0.1890547263681592,0.8109452736318408,0.9115298070713594,0.7195487539290074,0.869092039800995,0.7963099370358411,0.6623897353648757,0.6463223787167449,0.6792763157894737,0.9133435582822086
metadata_plus_lci_sources,temporal_latest20,0.8,31043,7787,0.1688711955823809,0.831128804417619,0.9245715383494619,0.7573547945023807,0.8844227558751766,0.810492698585777,0.6712929145361578,0.6458186929023191,0.6988593155893537,0.9221260815822002
metadata_plus_lci_sources,group_company,0.85,35614,3216,0.14738805970149255,0.8526119402985075,0.9183666638968138,0.6955695266471172,0.8849502487562189,0.7676278056301877,0.6063829787234043,0.6115879828326181,0.6012658227848101,0.9339897884755652
metadata_plus_lci_sources,temporal_latest20,0.85,31043,7787,0.12944651341980223,0.8705534865801978,0.9383591834727696,0.7603564107062702,0.9077950430204187,0.849074639936124,0.6837004405286343,0.6148969889064976,0.7698412698412699,0.9283080100309781
metadata_plus_lci_sources,group_company,0.9,35614,3216,0.09732587064676616,0.9026741293532339,0.9399811146120736,0.6978960676706732,0.9228855721393034,0.8275915957822634,0.6416184971098265,0.5857519788918206,0.7092651757188498,0.9459180158456769
metadata_plus_lci_sources,temporal_latest20,0.9,31043,7787,0.08321561576987287,0.9167843842301271,0.9565980598659078,0.7614566643270804,0.9260305637601131,0.8593341175839893,0.6368221941992434,0.5383795309168443,0.779320987654321,0.9393472475136574
metadata_plus_lci_sources,group_company,0.95,35614,3216,0.049440298507462684,0.9505597014925373,0.9510207524538999,0.7271318494975982,0.9598880597014925,0.805997370711204,0.6102719033232629,0.5872093023255814,0.6352201257861635,0.9767746156362447
metadata_plus_lci_sources,temporal_latest20,0.95,31043,7787,0.044946706048542444,0.9550532939514575,0.97564436504735,0.84345519309434,0.9734172338512906,0.8935119767955588,0.7315175097276264,0.669833729216152,0.8057142857142857,0.981309667876832
