algorithm,family,split,n_train,n_test,test_positive_rate,threshold,feature_count,fit_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,brier_score
ACRM application-aware single model,custom single learner with application-aware construction features,group_company,37092,9825,0.11501272264631043,0.5,16203,110.036,0.957552606268479,0.8261585507246609,0.9487022900763359,0.8324273435551914,0.7534246575342466,0.8424507658643327,0.6814159292035398,0.983438757906843,0.04207630264861539
ACRM application-aware single model,custom single learner with application-aware construction features,group_epd_source,42343,4574,0.10909488412767818,0.5,16068,115.801,0.9585994074037645,0.8093644929680536,0.9440314822912111,0.8331760453422181,0.7293868921775899,0.7718120805369127,0.6913827655310621,0.9749693251533742,0.04416016442863635
ACRM application-aware single model,custom single learner with application-aware construction features,temporal_latest20,37288,9629,0.08432859071554678,0.5,15841,112.161,0.9661264401338435,0.8099134643144936,0.9550316751479905,0.8535711911214956,0.7328809376927823,0.7342398022249691,0.7315270935960592,0.975615288646932,0.034525487637270806
