design,replicate,n_train,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,brier_score,ece_10_bins,top_5pct_precision,top_5pct_recall_capture,top_5pct_lift,top_10pct_precision,top_10pct_recall_capture,top_10pct_lift,top_20pct_precision,top_20pct_recall_capture,top_20pct_lift,top_30pct_precision,top_30pct_recall_capture,top_30pct_lift,n_test,prevalence,n_clusters_test,test_window_start,test_window_end
group_company,1,37468,0.8904764063020302,0.6163581262358373,0.9172399195682083,0.7813137105811442,0.6128712871287129,0.6177644710578842,0.6080550098231827,0.9545724113391056,0.06938198357020973,0.05784006764551729,0.7441860465116279,0.34577603143418467,6.907479325627085,0.6349206349206349,0.5893909626719057,5.893285932578663,0.4058201058201058,0.7534381139489195,3.766791925239862,0.30158730158730157,0.8398821218074656,2.799310817974865,9449,0.10773626838818923,17,,
group_company,2,40113,0.9606225716195245,0.84663412472687,0.9491475602586714,0.876137397720107,0.7455882352941177,0.7090909090909091,0.786046511627907,0.9662282838123072,0.03911916619734527,0.030415506001002176,0.9824046920821115,0.5193798449612403,10.363227170428972,0.737151248164464,0.7782945736434108,7.776088515520951,0.4276267450404115,0.9023255813953488,4.510964919775132,0.3011753183153771,0.9534883720930233,3.1770494043687223,6804,0.09479717813051146,17,,
group_company,3,38255,0.9588222513751908,0.8154191091558044,0.9509351189101825,0.8637329816415846,0.7315224257738471,0.706959706959707,0.7578534031413613,0.9696125601418081,0.039233148423168794,0.029968754076328347,0.923963133640553,0.524869109947644,10.475613434024178,0.6770472895040369,0.768324607329843,7.676156572884775,0.3935372186959031,0.8926701570680629,4.46180548212554,0.2816467872258561,0.9581151832460733,3.193225747317233,8662,0.0882013391826368,17,,
group_company,4,40799,0.9551597384014237,0.7718828515488598,0.955050670153645,0.8617723945625654,0.6760895170789164,0.6119402985074627,0.7552631578947369,0.9682816312303939,0.032892155268750695,0.025415834896126796,0.7777777777777778,0.6263157894736842,12.522222222222222,0.5065359477124183,0.8157894736842105,8.155228758169935,0.2867647058823529,0.9236842105263158,4.616911764705882,0.19607843137254902,0.9473684210526315,3.156862745098039,6118,0.062111801242236024,17,,
group_company,5,43335,0.964564930449792,0.8652625736321015,0.9765494137353434,0.8869715309874762,0.79,0.7939698492462312,0.7860696517412935,0.9878734102336587,0.018776550503053106,0.013257623542779758,0.85,0.7611940298507462,15.14776119402985,0.49303621169916434,0.8805970149253731,8.78634681744481,0.2608089260808926,0.9303482587064676,4.647848622993818,0.17674418604651163,0.945273631840796,3.1497396737244014,3582,0.05611390284757119,17,,
group_company,6,42330,0.9654493898767464,0.8593058605329121,0.9692609548724657,0.885747815721887,0.7729468599033816,0.7570977917981072,0.7894736842105263,0.9820219472332478,0.023765063024582592,0.01388646692361538,0.8695652173913043,0.6578947368421053,13.120709382151029,0.5838779956427015,0.881578947368421,8.810027519779842,0.3137254901960784,0.9473684210526315,4.733746130030959,0.20987654320987653,0.9506578947368421,3.166788499025341,4587,0.06627425332461304,17,,
group_company,7,36493,0.9536500208445,0.8083843296610752,0.9479086722947045,0.8138351646715503,0.7326440177252584,0.8541905855338691,0.6413793103448275,0.9862910189982729,0.042678601437479875,0.015525965768934549,0.921455938697318,0.4146551724137931,8.280393711190381,0.7785234899328859,0.7,6.995973154362416,0.48201438848920863,0.8663793103448276,4.331481022078889,0.35198209718670076,0.9491379310344827,3.1629839492018696,10424,0.11128165771297006,17,,
group_company,8,25725,0.9144959343933539,0.7168335138939884,0.9241694979237448,0.7580982124498714,0.6251457895964544,0.739514348785872,0.5414141414141415,0.9747822834856014,0.061726580306575844,0.044411316169085564,0.8933962264150943,0.38262626262626265,7.649637507146941,0.6787735849056604,0.5814141414141414,5.8119473985134364,0.4611936777541873,0.7898989898989899,3.9489359268552473,0.3424032714690154,0.8795959595959596,2.9318020723116662,21192,0.11678935447338619,17,,
group_company,9,33640,0.9274096632417665,0.7210821003775747,0.932590193567824,0.7996286946837764,0.6636602780909433,0.6996830427892234,0.6311651179413867,0.968092271426166,0.05646347624812034,0.04270395110206087,0.8132530120481928,0.38598999285203717,7.718055926350147,0.6799698795180723,0.6454610436025733,6.4531523161983175,0.44051204819277107,0.8363116511794139,4.180613626772996,0.31802208835341367,0.9056468906361687,3.018141005767172,13277,0.10537018904873088,17,,
group_company,10,45051,0.9585559553090994,0.8309624659943085,0.9576634512325831,0.8977224586318312,0.6519823788546255,0.5362318840579711,0.8314606741573034,0.963984243106359,0.029864049998848247,0.033677995162085854,0.7340425531914894,0.7752808988764045,15.390150609610327,0.41711229946524064,0.8764044943820225,8.74529832361954,0.21390374331550802,0.898876404494382,4.484768371086943,0.14642857142857144,0.9213483146067416,3.070064205457464,1866,0.04769560557341908,17,,
