dataset_version,split,algorithm,n_test,base_positive_rate,roc_auc,average_precision,top_5pct_precision,top_5pct_recall_capture,top_5pct_lift,top_10pct_precision,top_10pct_recall_capture,top_10pct_lift,top_20pct_precision,top_20pct_recall_capture,top_20pct_lift,top_30pct_precision,top_30pct_recall_capture,top_30pct_lift,calibration_brier_score,calibration_ece_10_bins,source_file
5,group_company,XGBoost GPU SOTA baseline,9825,0.1150127226463104,0.95341779173261,0.7965850504173133,0.9124236252545824,0.3964601769911504,7.9332408125011264,0.7830957230142567,0.6805309734513274,6.808774759836346,0.4931297709923664,0.8575221238938053,4.287610619469027,0.3704206241519674,0.9663716814159292,3.2206925949496283,0.0538660250098066,0.0784379763686208,concrete_epd_v5_operational_screening_metrics.csv
5,group_company,CARM-Boost fixed single model,9825,0.1150127226463104,0.954266718233956,0.8018715595176092,0.9226069246435844,0.4008849557522124,8.02178144656922,0.7881873727087576,0.6849557522123894,6.8530450768703925,0.4900763358778626,0.852212389380531,4.261061946902655,0.3694029850746269,0.963716814159292,3.2118445383700966,0.0593131607830204,0.0810741699666361,concrete_epd_v5_operational_screening_metrics.csv
5,group_epd_source,XGBoost GPU SOTA baseline,4574,0.1090948841276781,0.9524206695599788,0.7899301947000597,0.9301310043668122,0.4268537074148296,8.525890208364327,0.7483588621444202,0.685370741482966,6.859706283464084,0.4743169398907104,0.8697394789579158,4.347746859839899,0.3462099125364432,0.9519038076152304,3.1734752303440703,0.0692819543197829,0.098337949067512,concrete_epd_v5_operational_screening_metrics.csv
5,group_epd_source,CARM-Boost fixed single model,4574,0.1090948841276781,0.9524182106544375,0.7824349840628895,0.925764192139738,0.4248496993987976,8.485862554803932,0.737417943107221,0.6753507014028056,6.759418179904667,0.4819672131147541,0.8837675350701403,4.417871809192155,0.3462099125364432,0.9519038076152304,3.1734752303440703,0.069843531007711,0.0986758000446851,concrete_epd_v5_operational_screening_metrics.csv
5,temporal_latest20,XGBoost GPU SOTA baseline,9629,0.0843285907155467,0.9605877109323626,0.7863936248420181,0.8669438669438669,0.5135467980295566,10.280544944338049,0.6510903426791277,0.7721674876847291,7.720873041449902,0.3883696780893043,0.9211822660098522,4.605433042268364,0.2696434752509519,0.95935960591133,3.197533279792384,0.045892418272544,0.0657823033250036,concrete_epd_v5_operational_screening_metrics.csv
5,temporal_latest20,CARM-Boost fixed single model,9629,0.0843285907155467,0.960878447423836,0.7904370308119277,0.8669438669438669,0.5135467980295566,10.280544944338049,0.6448598130841121,0.7647783251231527,7.646989088900143,0.3883696780893043,0.9211822660098522,4.605433042268364,0.2692973347178954,0.958128078817734,3.193428615761842,0.0464342592224931,0.0656992080191764,concrete_epd_v5_operational_screening_metrics.csv
5,group_company,Domain-feature LightGBM single model,9825,0.1150127226463104,0.9411749199774052,0.7865118700214567,0.9390243902439024,0.4088495575221239,8.164526224908267,0.7690742624618515,0.6690265486725664,6.686862503263443,0.4712468193384224,0.8194690265486726,4.097345132743363,0.3548168249660787,0.9256637168141592,3.085022394063472,,,concrete_epd_v5_domain_lgbm_operational_metrics.csv
5,group_epd_source,Domain-feature LightGBM single model,4574,0.1090948841276781,0.951249246960178,0.7937708180901538,0.9213973799126638,0.4228456913827655,8.445834901243536,0.7467248908296943,0.685370741482966,6.844728758827699,0.4721311475409836,0.8657314629258517,4.327711160024968,0.3415877640203933,0.939879759519038,3.1311070794173927,,,concrete_epd_v5_domain_lgbm_operational_metrics.csv
5,temporal_latest20,Domain-feature LightGBM single model,9629,0.0843285907155467,0.9650455540712606,0.8102209762336766,0.8879668049792531,0.5270935960591133,10.52984281421826,0.6687435098650052,0.7931034482758621,7.930210907007556,0.3925233644859813,0.9310344827586208,4.654689010634869,0.2706818968501212,0.9630541871921182,3.2098472718840108,,,concrete_epd_v5_domain_lgbm_operational_metrics.csv
5,temporal_latest20,P20-CARM LambdaMART LightGBM ranker,9629,,0.9283361436231284,0.5789941932233209,0.6493775933609959,0.3854679802955665,7.700562618809149,0.5482866043613707,0.6502463054187192,6.501787824378865,0.3603322949117342,0.854679802955665,4.272955255794444,0.2606438213914849,0.9273399014778324,3.0908120149982867,,,concrete_epd_v5_p20_ranker_results.csv
5,temporal_latest20,P20-CARM XGBoost pairwise ranker,9629,,0.8334584834156586,0.4026524750541419,0.5435684647302904,0.3226600985221675,6.445838358236412,0.4049844236760124,0.4802955665024631,4.802456915734389,0.2715472481827622,0.6440886699507389,3.2201089319603664,0.2139148494288681,0.7610837438423645,2.536682370875088,,,concrete_epd_v5_p20_ranker_results.csv
5,group_company,ACRM application-aware single model,9825,0.1150127226463104,0.9582612833130628,0.8269899841270487,0.9552845528455284,0.415929203539823,8.305903302395857,0.8056968463886063,0.7008849557522124,7.005284527228369,0.5038167938931297,0.8761061946902655,4.380530973451327,0.3666892808683853,0.9566371681415928,3.188249720824678,0.0418409917163563,0.0179214207887631,
5,group_epd_source,ACRM application-aware single model,4574,0.1090948841276781,0.9590287323112484,0.8076528888988797,0.9126637554585152,0.4188376753507014,8.365779594122744,0.7685589519650655,0.7054108216432866,7.044867026629679,0.487431693989071,0.8937875751503006,4.467961058729481,0.347414420975965,0.9559118236472944,3.184516155398926,0.0445190044183298,0.0258468748341063,
5,temporal_latest20,ACRM application-aware single model,9629,0.0843285907155467,0.9653334970341108,0.806413068724212,0.8941908713692946,0.5307881773399015,10.603650123663718,0.6614745586708204,0.7844827586206896,7.844012962366169,0.3940809968847352,0.9347290640394088,4.673159998772309,0.2713741779162339,0.9655172413793104,3.2180565999450947,0.0345578957325196,0.019011793324544,
