split,threshold_probability,strategy,net_benefit,net_benefit_review_all,net_benefit_review_none,reviews_avoided_per_100,share_flagged
group_company,0.02,ACRM,0.10672067300202524,0.09695175780235758,0.0,47.86768447837153,0.30249363867684476
group_company,0.02,XGBoost baseline,0.10239601183985045,0.09695175780235758,0.0,26.676844783715037,0.7179643765903307
group_company,0.03,ACRM,0.10329005010361743,0.0876419821095984,0.0,50.595419847328216,0.2599491094147583
group_company,0.03,XGBoost baseline,0.0974549460927048,0.0876419821095984,0.0,31.728583545377393,0.6555725190839695
group_company,0.04,ACRM,0.09932994062765055,0.07813825275657336,0.0,50.86005089058523,0.23949109414758268
group_company,0.04,XGBoost baseline,0.09378286683630194,0.07813825275657336,0.0,37.547073791348566,0.6041730279898219
group_company,0.05,ACRM,0.09714744877460826,0.06843444489085308,0.0,54.55470737913484,0.2203562340966921
group_company,0.05,XGBoost baseline,0.08959957144770322,0.06843444489085308,0.0,40.213740458015266,0.5795419847328245
group_company,0.06,ACRM,0.09425802609495966,0.05852417302798983,0.0,55.98303647158607,0.2043765903307888
group_company,0.06,XGBoost baseline,0.08543771317199936,0.05852417302798983,0.0,42.16454622561493,0.5596946564885497
group_company,0.07,ACRM,0.09211086486634382,0.04840077703904347,0.0,58.07197382769902,0.1880916030534351
group_company,0.07,XGBoost baseline,0.0819010096035459,0.04840077703904347,0.0,44.50745183569608,0.5389312977099237
group_company,0.08,ACRM,0.08984179665892245,0.03805730722425048,0.0,59.55216284987277,0.1780152671755725
group_company,0.08,XGBoost baseline,0.07847770771102998,0.03805730722425048,0.0,46.48346055979643,0.51735368956743
group_company,0.09,ACRM,0.08768727455750357,0.02748650840253894,0.0,60.86966355668646,0.17190839694656487
group_company,0.09,XGBoost baseline,0.07626765092413948,0.02748650840253894,0.0,49.323155216284995,0.486412213740458
group_company,0.1,ACRM,0.08593723494486853,0.01668080294034492,0.0,62.33078880407125,0.16804071246819338
group_company,0.1,XGBoost baseline,0.07522759400621996,0.01668080294034492,0.0,52.69211195928754,0.4537404580152672
group_company,0.11,ACRM,0.08494153300740487,0.005632272636303864,0.0,64.16840157298172,0.16030534351145037
group_company,0.11,XGBoost baseline,0.07500929182033908,0.005632272636303864,0.0,56.1323155216285,0.4183206106870229
group_company,0.12,ACRM,0.08374739764052741,-0.00566736062919268,0.0,65.57082273112808,0.15684478371501273
group_company,0.12,XGBoost baseline,0.07367106176266482,-0.00566736062919268,0.0,58.18150975402884,0.398676844783715
group_company,0.13,ACRM,0.08265099002661519,-0.017226755578953534,0.0,66.84126052064984,0.1530788804071247
group_company,0.13,XGBoost baseline,0.0731385452312012,-0.017226755578953534,0.0,60.4752397729497,0.3756743002544529
group_company,0.14,ACRM,0.0818036570211255,-0.029054973667080902,0.0,68.09887313704107,0.14961832061068703
group_company,0.14,XGBoost baseline,0.07241848630096455,-0.029054973667080902,0.0,62.33369683751363,0.35776081424936385
group_company,0.15,ACRM,0.08038916329890734,-0.041161502769046565,0.0,68.87871077184055,0.14564885496183205
group_company,0.15,XGBoost baseline,0.07233647657536296,-0.041161502769046565,0.0,64.31552162849873,0.3385241730279898
group_company,0.16,ACRM,0.07880770628862233,-0.053556282563916174,0.0,69.49109414758271,0.1435114503816794
group_company,0.16,XGBoost baseline,0.07088331515812432,-0.053556282563916174,0.0,65.33078880407125,0.3282442748091603
group_company,0.17,ACRM,0.0775940402832705,-0.06624973175143323,0.0,70.22960634635534,0.13964376590330788
group_company,0.17,XGBoost baseline,0.06878812961770747,-0.06624973175143323,0.0,65.93024996258046,0.32213740458015266
group_company,0.18,ACRM,0.07715757462918141,-0.07925277726059701,0.0,71.25360474978795,0.1364885496183206
group_company,0.18,XGBoost baseline,0.0682306212375101,-0.07925277726059701,0.0,67.18688153802658,0.3089058524173028
group_company,0.19,ACRM,0.07633964753557629,-0.09257688562183894,0.0,72.01178518816124,0.13363867684478373
group_company,0.19,XGBoost baseline,0.06661891747557566,-0.09257688562183894,0.0,67.86768447837149,0.3009669211195929
group_company,0.2,ACRM,0.07564885496183206,-0.10623409669211195,0.0,72.75318066157762,0.13150127226463104
group_company,0.2,XGBoost baseline,0.06417302798982188,-0.10623409669211195,0.0,68.16284987277353,0.2949618320610687
group_company,0.21,ACRM,0.07450639353238639,-0.12023705994137918,0.0,73.26063249727372,0.1292620865139949
group_company,0.21,XGBoost baseline,0.06140367829419913,-0.12023705994137918,0.0,68.33151581243185,0.28905852417302796
group_company,0.22,ACRM,0.07385398316696028,-0.13459907353037123,0.0,73.9060837381448,0.12631043256997457
group_company,0.22,XGBoost baseline,0.059612448620082206,-0.13459907353037123,0.0,68.85681239879713,0.2827480916030534
group_company,0.23,ACRM,0.07336307458444863,-0.14933412643336305,0.0,74.55514990596305,0.12346055979643766
