algorithm,split,metric,value,leader_algorithm,leader_value,delta_vs_leader,wins_metric
Domain-feature LightGBM single model,group_company,roc_auc,0.940631020777886,CARM-Boost fixed single model,0.954266718233956,-0.013635697456070073,False
Domain-feature LightGBM single model,group_company,average_precision,0.7860930095572918,CARM-Boost fixed single model,0.8018715595176092,-0.015778549960317467,False
Domain-feature LightGBM single model,group_company,accuracy,0.9389312977099236,CatBoost CPU SVD,0.9448346055979644,-0.005903307888040832,False
Domain-feature LightGBM single model,group_company,balanced_accuracy,0.8161276697522226,Complement Naive Bayes,0.8459004004946389,-0.029772730742416265,False
Domain-feature LightGBM single model,group_company,f1,0.7120921305182342,CatBoost CPU SVD,0.747906976744186,-0.03581484622595188,False
Domain-feature LightGBM single model,group_company,precision,0.7777777777777778,HistGradientBoosting SVD,0.8303370786516854,-0.05255930087390759,False
Domain-feature LightGBM single model,group_company,recall,0.6566371681415929,Complement Naive Bayes,0.8486725663716814,-0.19203539823008853,False
Domain-feature LightGBM single model,group_company,specificity,0.9756181713628522,Random Forest,0.998734905117884,-0.02311673375503176,False
Domain-feature LightGBM single model,group_epd_source,roc_auc,0.9498309502440464,CARM-Boost fixed single model,0.9524182106544375,-0.0025872604103911456,False
Domain-feature LightGBM single model,group_epd_source,average_precision,0.7965073129609178,CARM-Boost fixed single model,0.7824349840628895,0.014072328898028341,True
Domain-feature LightGBM single model,group_epd_source,accuracy,0.940533449934412,CARM-Boost fixed single model,0.9024923480542196,0.038041101880192385,True
Domain-feature LightGBM single model,group_epd_source,balanced_accuracy,0.8285749412936303,CARM-Boost fixed single model,0.8608628299543873,-0.03228788866075705,False
Domain-feature LightGBM single model,group_epd_source,f1,0.7154811715481172,CARM-Boost fixed single model,0.6437699680511182,0.071711203496999,True
Domain-feature LightGBM single model,group_epd_source,precision,0.7483588621444202,CARM-Boost fixed single model,0.5351925630810093,0.2131662990634109,True
Domain-feature LightGBM single model,group_epd_source,recall,0.685370741482966,CARM-Boost fixed single model,0.8076152304609219,-0.12224448897795592,False
Domain-feature LightGBM single model,group_epd_source,specificity,0.9717791411042944,CARM-Boost fixed single model,0.9141104294478528,0.05766871165644161,True
Domain-feature LightGBM single model,temporal_latest20,roc_auc,0.9653887390626372,LightGBM GPU,0.9642667182910756,0.0011220207715616493,True
Domain-feature LightGBM single model,temporal_latest20,average_precision,0.8103168566768141,LightGBM GPU,0.8099121874687535,0.0004046692080605929,True
Domain-feature LightGBM single model,temporal_latest20,accuracy,0.9543047045383736,LightGBM GPU,0.9548239692595284,-0.0005192647211548218,False
Domain-feature LightGBM single model,temporal_latest20,balanced_accuracy,0.8481427364624206,Linear SVM SGD,0.8988977294758056,-0.05075499301338504,False
Domain-feature LightGBM single model,temporal_latest20,f1,0.7267080745341615,LightGBM GPU,0.7326367547633682,-0.005928680229206673,False
Domain-feature LightGBM single model,temporal_latest20,precision,0.7330827067669173,Random Forest,0.7421052631578947,-0.009022556390977376,False
Domain-feature LightGBM single model,temporal_latest20,recall,0.7204433497536946,Linear SVM SGD,0.8768472906403941,-0.1564039408866995,False
Domain-feature LightGBM single model,temporal_latest20,specificity,0.9758421231711466,Random Forest,0.9944425541567428,-0.01860043098559616,False
Pareto-CARM thresholded single model,group_company,roc_auc,0.954266718233956,CARM-Boost fixed single model,0.954266718233956,0.0,False
