split,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width,n_test,prevalence,n_companies,n_plants,n_sources
group_company,row_level,row,9825,top_10pct_capture,0.6991150442477876,0.6771376752048458,0.7240452810626438,0.04690760585779796,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_10pct_precision,0.8044806517311609,0.7667769857433808,0.8441955193482689,0.07741853360488804,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_10pct_lift,6.994710091379341,6.774824499885551,7.244139395560564,0.46931489567501306,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_10pct_review_saving,0.85703481817889,0.8523947004058704,0.8619573774636264,0.009562677057756042,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_10pct_median_opportunity,0.17676767676767663,0.17115728913045963,0.18063262202797548,0.009475332897515842,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_10pct_share_opportunity_ge_10,0.7834394904458599,0.7562129543669214,0.8142577774842186,0.058044823117297195,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_20pct_capture,0.8716814159292036,0.8528857677208523,0.8926646935684663,0.039778925847614,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_20pct_precision,0.5012722646310432,0.4758142493638677,0.5282442748091603,0.05243002544529257,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_20pct_lift,4.3584070796460175,4.264428838604262,4.463323467842331,0.1988946292380689,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_20pct_review_saving,0.7705583756345178,0.7655020077336498,0.7759517077252318,0.010449699991581962,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_20pct_median_opportunity,0.18574324324324318,0.1788413098236775,0.19096360628618692,0.012122296462509424,9825,0.11501272264631043,17,61,20
group_company,row_level,row,9825,top_20pct_share_opportunity_ge_10,0.813265306122449,0.7887285133647577,0.8379794936403916,0.049250980275633904,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_10pct_capture,0.6991150442477876,0.6734293279468665,0.9464420995670996,0.2730127716202331,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_10pct_precision,0.8044806517311609,0.3273362327331726,0.8655866278498647,0.5382503951166921,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_10pct_lift,6.994710091379341,6.734000579194876,9.467625050730518,2.7336244715356424,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_10pct_review_saving,0.85703481817889,0.8514998642722862,0.8943768900997426,0.04287702582745645,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_10pct_median_opportunity,0.17676767676767663,0.08704162394411834,0.22362300302808813,0.13658137908396978,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_10pct_share_opportunity_ge_10,0.7834394904458599,0.4782274247491639,0.8196644651491921,0.3414370404000282,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_20pct_capture,0.8716814159292036,0.8543624446786612,0.9935075408462506,0.1391450961675894,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_20pct_precision,0.5012722646310432,0.18544350005448404,0.5472917990870018,0.3618482990325177,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_20pct_lift,4.3584070796460175,4.272303607741234,4.967754478624294,0.69545087088306,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_20pct_review_saving,0.7705583756345178,0.7659342378428057,0.7987018069126606,0.032767569069854896,9825,0.11501272264631043,17,61,20
