split,review_fraction,n_test,reviewed_count,true_high_carbon_total,true_high_carbon_captured,false_positive_reviews,base_positive_rate,topk_precision,topk_recall_capture,topk_lift,reviews_per_true_high_carbon,random_reviews_per_true_high_carbon,random_reviews_for_same_true_high_carbon_capture,review_savings_vs_random,review_savings_fraction_vs_random,roc_auc,average_precision
group_company,0.1,9825.0,983.0,1130.0,756.0,227.0,0.11501272264631043,0.7690742624618515,0.6690265486725664,6.686862503263443,1.3002645502645502,8.694690265486726,6573.185840707964,5590.185840707964,0.8504530339135937,0.9411749199774053,0.7865118700214567
group_company,0.2,9825.0,1965.0,1130.0,926.0,1039.0,0.11501272264631043,0.4712468193384224,0.8194690265486726,4.097345132743363,2.1220302375809936,8.694690265486726,8051.283185840708,6086.283185840708,0.755939524838013,0.9411749199774053,0.7865118700214567
group_epd_source,0.1,4574.0,458.0,499.0,342.0,116.0,0.10909488412767818,0.7467248908296943,0.685370741482966,6.844728758827699,1.3391812865497077,9.16633266533066,3134.8857715430863,2676.8857715430863,0.8539021727179047,0.9512492469601781,0.7937708180901538
group_epd_source,0.2,4574.0,915.0,499.0,432.0,483.0,0.10909488412767818,0.4721311475409836,0.8657314629258517,4.327711160024968,2.1180555555555554,9.16633266533066,3959.855711422846,3044.855711422846,0.7689309745906816,0.9512492469601781,0.7937708180901538
temporal_latest20,0.1,9629.0,963.0,812.0,644.0,319.0,0.08432859071554678,0.6687435098650052,0.7931034482758621,7.930210907007556,1.4953416149068324,11.858374384236454,7636.793103448276,6673.793103448276,0.873899948976597,0.9650455540712606,0.8102209762336766
temporal_latest20,0.2,9629.0,1926.0,812.0,756.0,1170.0,0.08432859071554678,0.3925233644859813,0.9310344827586207,4.654689010634869,2.5476190476190474,11.858374384236454,8964.931034482759,7038.931034482759,0.7851628760342022,0.9650455540712606,0.8102209762336766
