row_index,y_true,domain_lgbm_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
33592,1,0.7832311075889467,0.08432859071554678,Knife River Corporation,Eugene (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,3.0,early,180.0,strict_group,10.0,148.91666666666669,122.13333333333333,31.083333333333314,0.17268518518518508,57.866666666666674,0.32148148148148153,True,True,False
33344,0,0.7801058978336847,0.08432859071554678,Ingram Ready Mix,Pearland #35 LLC Plant,TX,South Central Region,other_or_unspecified,4500.0,4500,28.0,standard_28,119.11111111111111,strict_group,47.0,64.66666666666667,61.6,54.44444444444444,0.45708955223880593,57.51111111111111,0.4828358208955224,True,True,True
42250,0,0.7787702390890491,0.08432859071554678,Robertson's Ready Mix,Anaheim Plant,CA,Pacific Southwest Region,other_or_unspecified,2500.0,2500,28.0,standard_28,74.4,strict_group,16.0,102.5,100.8,0.0,0.0,0.0,0.0,True,False,False
44162,0,0.7758621727880969,0.08432859071554678,Tec-Crete Transit Mix Corp.,Long Island City Plant,NY,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,108.0,strict_group,636.0,74.75,60.75,33.25,0.30787037037037035,47.25,0.4375,True,True,True
16280,0,0.7742170561055826,0.08432859071554678,CEMEX,Zephyrhills Plant,FL,Southeastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,123.6,strict_group,212.0,92.7,82.88,30.89999999999999,0.24999999999999994,40.72,0.3294498381877023,True,True,True
16254,1,0.7731359146746966,0.08432859071554678,CEMEX,Yuma Plant,AZ,Pacific Southwest Region,filler,3000.0,3000,28.0,standard_28,153.33333333333334,strict_group,12.0,92.5,91.39999999999999,60.83333333333334,0.39673913043478265,61.93333333333335,0.40391304347826096,True,True,True
43228,1,0.7710206242524251,0.08432859071554678,Silvi Materials,Philadelphia Plant,PA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,128.66666666666666,strict_group,295.0,91.33333333333333,79.06666666666668,37.33333333333333,0.29015544041450775,49.59999999999998,0.38549222797927446,True,True,True
33623,1,0.7700217272003348,0.08432859071554678,Knife River Corporation,Eugene (Oregon) Plant,OR,Pacific Northwest Region,filler,3000.0,3000,28.0,standard_28,159.0,strict_group,16.0,106.91666666666667,89.33333333333334,52.08333333333333,0.3275681341719077,69.66666666666666,0.43815513626834374,True,True,True
4486,1,0.7692726013455917,0.08432859071554678,"Callanan Industries, Inc.",Latham Plant,NY,Eastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,148.4,strict_group,18.0,103.4,78.72,45.0,0.3032345013477089,69.68,0.4695417789757413,True,True,True
46203,0,0.7645283900747609,0.08432859071554678,United Companies,Gypsum Plant,CO,Rocky Mountains Region,other_or_unspecified,3000.0,3000,28.0,standard_28,83.33333333333333,strict_group,53.0,77.66666666666667,65.4,5.666666666666657,0.0679999999999999,17.933333333333323,0.2151999999999999,True,False,False
44892,1,0.7642023902918826,0.08432859071554678,Titan Virginia Ready-Mix,Campostella Plant,VA,Eastern Region,other_or_unspecified,3500.0,3500,28.0,standard_28,136.0,strict_group,117.0,95.71428571428571,84.05714285714286,40.28571428571429,0.29621848739495804,51.942857142857136,0.3819327731092437,True,True,True
6983,1,0.763860645906735,0.08432859071554678,CEMEX,Crestview Plant,FL,Southeastern Region,other_or_unspecified,2000.0,2000,28.0,standard_28,131.0,strict_group,9.0,114.0,97.9,17.0,0.1297709923664122,33.099999999999994,0.2526717557251908,True,True,False
33466,0,0.7637007242216598,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,109.0,strict_group,395.0,71.0,64.13333333333334,38.0,0.3486238532110092,44.86666666666666,0.4116207951070336,True,True,True
45980,0,0.7633112638596764,0.08432859071554678,Titan Virginia Ready-Mix,Sterling RM (Plant 1),VA,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,109.75,strict_group,636.0,74.75,60.75,35.0,0.31890660592255127,49.0,0.44646924829157175,True,True,True
5105,1,0.7619670606595286,0.08432859071554678,CEMEX,Andalusia Plant,AL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,132.33333333333334,strict_group,701.0,91.66666666666667,82.66666666666667,40.66666666666667,0.30730478589420657,49.66666666666667,0.37531486146095716,True,True,True
30448,1,0.7606219812354309,0.08432859071554678,Elizabeth River Concrete,Portsmouth Virginia Plant,VA,Eastern Region,filler,4000.0,4000,28.0,standard_28,136.75,strict_group,83.0,88.0,68.55,48.75,0.35648994515539306,68.2,0.4987202925045704,True,True,True
45409,1,0.7603857047514356,0.08432859071554678,Titan Virginia Ready-Mix,Port Norfolk Plant,VA,Eastern Region,other_or_unspecified,3500.0,3500,28.0,standard_28,144.28571428571428,strict_group,117.0,95.71428571428571,84.05714285714286,48.57142857142857,0.33663366336633666,60.22857142857141,0.41742574257425735,True,True,True
30738,1,0.7589316565633747,0.08432859071554678,Four Winds Concrete Inc.,Bethlehem Plant,PA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,125.0,strict_group,295.0,91.33333333333333,79.06666666666668,33.66666666666667,0.26933333333333337,45.93333333333332,0.3674666666666666,True,True,True
15519,1,0.7588682150086731,0.08432859071554678,CEMEX,Tyrone Plant,GA,Southeastern Region,paving,2200.0,2000,28.0,standard_28,131.8181818181818,regional_strength_group,14.0,114.25,100.5,17.568181818181813,0.1332758620689655,31.318181818181813,0.2375862068965517,True,True,False
33737,1,0.758327082004775,0.08432859071554678,Knife River Corporation,McMinnville (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3500.0,3500,28.0,standard_28,136.57142857142858,strict_group,339.0,68.59126984126985,58.0,67.98015873015873,0.4977626685262668,78.57142857142858,0.5753138075313808,True,True,True
2015,0,0.7540354472232932,0.08432859071554678,Bonded Concrete Inc. / The Clemente Group,Pleasant Valley Plant,NY,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,114.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,23.0,0.2011661807580175,35.26666666666665,0.30845481049562673,True,True,True
