question,variant,model,roc_auc,average_precision,top_20pct_capture,spearman_prob_vs_ci,spearman_score_vs_strength
learner,no_adaptation,"ACRM (LightGBM, reported configuration)",0.5808373042886317,0.20448547614988782,0.38461538461538464,0.2306896130125597,0.913073613076708
learner,no_adaptation,XGBoost baseline (reported configuration),0.5838155207624234,0.19593220175190101,0.34615384615384615,0.29396366305694566,0.9543435679169601
learner,no_adaptation,Strength-only logistic (U.S.-fitted),0.5900272294077604,0.18654819882690932,0.3076923076923077,0.27938792205539803,0.9999999999999998
learner,vocabulary_bridge,"ACRM (LightGBM, reported configuration)",0.6074710687542545,0.25764627884249114,0.38461538461538464,0.27643961558534186,0.9072851528450181
learner,vocabulary_bridge,XGBoost baseline (reported configuration),0.6180224642614024,0.2510211101160354,0.38461538461538464,0.3328847586210922,0.9420222538852603
learner,vocabulary_bridge,Strength-only logistic (U.S.-fitted),0.5900272294077604,0.18654819882690932,0.3076923076923077,0.27938792205539803,0.9999999999999998
learnability,leave-producers-out CV,Market-feature logistic (within corpus),0.7312797821647379,0.19693188200472214,0.5,0.5331264166094611,
learnability,leave-producers-out CV,"Market-feature LightGBM, small (within corpus)",0.5696732471068755,0.13167380971143308,0.19230769230769232,0.2411718345173269,
learnability,leave-producers-out CV,Strength-only logistic (within corpus),0.5717324710687541,0.16997122845227497,0.34615384615384615,0.23944851412449006,
