question,variant,model,roc_auc,average_precision,top_20pct_capture,spearman_prob_vs_ci,spearman_score_vs_strength
learner,no_adaptation,"ACRM (LightGBM, reported configuration)",0.8280820244643892,0.4752906667941261,0.6496815286624203,0.4988147157753319,0.8453665625414644
learner,no_adaptation,XGBoost baseline (reported configuration),0.81005491821077,0.4259190323589696,0.6178343949044586,0.4901925728386546,0.8733810220169421
learner,no_adaptation,Strength-only logistic (U.S.-fitted),0.8147211566299942,0.37997845679405506,0.5923566878980892,0.5633450257708554,1.0
learner,vocabulary_bridge,"ACRM (LightGBM, reported configuration)",0.828403210046323,0.47190381808981124,0.6560509554140127,0.51432985590902,0.8521968974452682
learner,vocabulary_bridge,XGBoost baseline (reported configuration),0.8169445751302837,0.4299278397559504,0.6369426751592356,0.4978312844816086,0.8736031419362136
learner,vocabulary_bridge,Strength-only logistic (U.S.-fitted),0.8147211566299942,0.37997845679405506,0.5923566878980892,0.5633450257708554,1.0
learnability,leave-producers-out CV,Market-feature logistic (within corpus),0.7785226367979154,0.39458779024093815,0.5859872611464968,0.38664121943568835,
learnability,leave-producers-out CV,"Market-feature LightGBM, small (within corpus)",0.8127492581065432,0.45291248819490376,0.6305732484076432,0.5113028210130863,
learnability,leave-producers-out CV,Strength-only logistic (within corpus),0.8027174109727853,0.40189457257465977,0.5668789808917197,0.5388927070000115,
