split,metric,domain_lgbm,previous_leader_algorithm,previous_leader_value,delta_vs_previous_leader,wins_previous_operational_metric
group_company,top_5pct_precision,0.9390243902439024,CARM-Boost fixed single model,0.9226069246435844,0.016417465600317982,True
group_company,top_5pct_recall_capture,0.4088495575221239,CARM-Boost fixed single model,0.4008849557522124,0.007964601769911483,True
group_company,top_5pct_lift,8.164526224908267,CARM-Boost fixed single model,8.02178144656922,0.14274477833904697,True
group_company,top_10pct_precision,0.7690742624618515,CARM-Boost fixed single model,0.7881873727087576,-0.019113110246906095,False
group_company,top_10pct_recall_capture,0.6690265486725664,CARM-Boost fixed single model,0.6849557522123894,-0.015929203539822967,False
group_company,top_10pct_lift,6.686862503263443,CARM-Boost fixed single model,6.8530450768703925,-0.16618257360694955,False
group_company,top_20pct_precision,0.4712468193384224,XGBoost GPU SOTA baseline,0.4931297709923664,-0.021882951653943994,False
group_company,top_20pct_recall_capture,0.8194690265486726,XGBoost GPU SOTA baseline,0.8575221238938053,-0.038053097345132736,False
group_company,top_20pct_lift,4.097345132743363,XGBoost GPU SOTA baseline,4.287610619469027,-0.19026548672566435,False
group_company,top_30pct_precision,0.3548168249660787,XGBoost GPU SOTA baseline,0.3704206241519674,-0.015603799185888723,False
group_company,top_30pct_recall_capture,0.9256637168141592,XGBoost GPU SOTA baseline,0.9663716814159292,-0.040707964601770064,False
group_company,top_30pct_lift,3.085022394063472,XGBoost GPU SOTA baseline,3.2206925949496283,-0.13567020088615633,False
group_epd_source,top_5pct_precision,0.9213973799126638,XGBoost GPU SOTA baseline,0.9301310043668122,-0.008733624454148381,False
group_epd_source,top_5pct_recall_capture,0.4228456913827655,XGBoost GPU SOTA baseline,0.4268537074148296,-0.004008016032064077,False
group_epd_source,top_5pct_lift,8.445834901243536,XGBoost GPU SOTA baseline,8.525890208364327,-0.08005530712079079,False
group_epd_source,top_10pct_precision,0.7467248908296943,XGBoost GPU SOTA baseline,0.7483588621444202,-0.0016339713147258683,False
group_epd_source,top_10pct_recall_capture,0.685370741482966,XGBoost GPU SOTA baseline,0.685370741482966,0.0,False
group_epd_source,top_10pct_lift,6.844728758827699,XGBoost GPU SOTA baseline,6.859706283464084,-0.01497752463638502,False
group_epd_source,top_20pct_precision,0.4721311475409836,CARM-Boost fixed single model,0.4819672131147541,-0.00983606557377048,False
group_epd_source,top_20pct_recall_capture,0.8657314629258517,CARM-Boost fixed single model,0.8837675350701403,-0.018036072144288595,False
group_epd_source,top_20pct_lift,4.327711160024968,CARM-Boost fixed single model,4.417871809192155,-0.09016064916718669,False
group_epd_source,top_30pct_precision,0.3415877640203933,XGBoost GPU SOTA baseline,0.3462099125364432,-0.004622148516049862,False
group_epd_source,top_30pct_recall_capture,0.939879759519038,XGBoost GPU SOTA baseline,0.9519038076152304,-0.012024048096192397,False
group_epd_source,top_30pct_lift,3.1311070794173927,XGBoost GPU SOTA baseline,3.1734752303440703,-0.04236815092667756,False
temporal_latest20,top_5pct_precision,0.8879668049792531,XGBoost GPU SOTA baseline,0.8669438669438669,0.02102293803538613,True
temporal_latest20,top_5pct_recall_capture,0.5270935960591133,XGBoost GPU SOTA baseline,0.5135467980295566,0.013546798029556717,True
temporal_latest20,top_5pct_lift,10.52984281421826,XGBoost GPU SOTA baseline,10.280544944338049,0.24929786988021085,True
temporal_latest20,top_10pct_precision,0.6687435098650052,XGBoost GPU SOTA baseline,0.6510903426791277,0.017653167185877505,True
temporal_latest20,top_10pct_recall_capture,0.7931034482758621,XGBoost GPU SOTA baseline,0.7721674876847291,0.020935960591133007,True
temporal_latest20,top_10pct_lift,7.930210907007556,XGBoost GPU SOTA baseline,7.720873041449902,0.20933786555765366,True
temporal_latest20,top_20pct_precision,0.3925233644859813,XGBoost GPU SOTA baseline,0.3883696780893043,0.004153686396677014,True
temporal_latest20,top_20pct_recall_capture,0.9310344827586208,XGBoost GPU SOTA baseline,0.9211822660098522,0.009852216748768572,True
temporal_latest20,top_20pct_lift,4.654689010634869,XGBoost GPU SOTA baseline,4.605433042268364,0.0492559683665057,True
temporal_latest20,top_30pct_precision,0.2706818968501212,XGBoost GPU SOTA baseline,0.2696434752509519,0.0010384215991692813,True
temporal_latest20,top_30pct_recall_capture,0.9630541871921182,XGBoost GPU SOTA baseline,0.95935960591133,0.003694581280788256,True
temporal_latest20,top_30pct_lift,3.2098472718840108,XGBoost GPU SOTA baseline,3.197533279792384,0.012313992091626869,True
