split,n_classes,weighted_roc_auc,min_roc_auc,max_roc_auc,weighted_top20_capture
group_company,3.0,0.8753763964753025,0.8571520645788429,0.9118613834422657,0.6238401948394641
group_epd_source,3.0,0.9145243302127537,0.8591005291005291,0.9414019534515378,0.7881371741314751
temporal_latest20,4.0,0.9224032110529388,0.7810416666666666,0.9508667502088555,0.8127591504746698
