accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,brier,threshold,tn,fp,fn,tp,target,threshold_days,split,model,n_train,n_test,train_positive_rate,test_positive_rate,n_features_numeric,n_features_categorical,n_features_text
0.7784265519360787,0.7403958689057242,0.587,0.6558659217877095,0.8249258160237388,0.6195250659630607,0.8402244109685717,0.6306962577667782,0.1529823840440281,0.5599999999999999,1946,413,308,587,next_forecast_extension_gt_30_days,30,project_group_holdout,lightgbm,9469,3254,0.27373534692153345,0.2750460971112477,122,9,1
0.7298709280885064,0.7526721624777093,0.5056258790436006,0.8033519553072626,0.701992369648156,0.6206301251618472,0.8288816632367185,0.6171907311449367,0.17087840699431173,0.4799999999999999,1656,703,176,719,next_forecast_extension_gt_30_days,30,project_group_holdout,catboost,9469,3254,0.27373534692153345,0.2750460971112477,122,9,1
0.7427781192378611,0.7567203696292104,0.5214497041420119,0.7877094972067039,0.7257312420517168,0.6275033377837116,0.8250248069322055,0.5966012756170667,0.17092998325824738,0.49499999999999994,1712,647,190,705,next_forecast_extension_gt_30_days,30,project_group_holdout,xgboost,9469,3254,0.27373534692153345,0.2750460971112477,122,9,1
0.7427781192378611,0.7497862696294473,0.5221036585365854,0.7653631284916201,0.7342094107672743,0.6207521522428636,0.8216591160443423,0.6248613716671392,0.17986112150837474,0.5049999999999999,1732,627,210,685,next_forecast_extension_gt_30_days,30,project_group_holdout,random_forest_balanced,9469,3254,0.27373534692153345,0.2750460971112477,122,9,1
0.6066379840196681,0.6357816611053353,0.3825503355704698,0.7005586592178771,0.5710046629927935,0.494869771112865,0.6885518672100905,0.4237070958720693,0.22493924359931236,0.48499999999999993,1347,1012,268,627,next_forecast_extension_gt_30_days,30,project_group_holdout,logistic_l2_balanced,9469,3254,0.27373534692153345,0.2750460971112477,122,9,1
0.7136150234741784,0.6419822202709944,0.5713058419243986,0.4409814323607427,0.842983008181246,0.4977544910179641,0.7178685567053332,0.5430696374069727,0.19232226778522185,0.5049999999999999,2679,499,843,665,next_forecast_extension_gt_30_days,30,temporal_2025_2026_holdout,catboost,8037,4686,0.2462361577703123,0.3218096457533077,122,9,1
0.7116944088775075,0.601886435757771,0.607681755829904,0.2937665782493369,0.9100062932662052,0.39606616003576217,0.6934054666281615,0.5224739349924564,0.20673894424723702,0.58,2892,286,1065,443,next_forecast_extension_gt_30_days,30,temporal_2025_2026_holdout,lightgbm,8037,4686,0.2462361577703123,0.3218096457533077,122,9,1
0.6965428937259923,0.5638839551759193,0.5873983739837398,0.1916445623342175,0.9361233480176211,0.289,0.691403556947382,0.5046344708987804,0.22183802600489694,0.5399999999999999,2975,203,1219,289,next_forecast_extension_gt_30_days,30,temporal_2025_2026_holdout,random_forest_balanced,8037,4686,0.2462361577703123,0.3218096457533077,122,9,1
0.6984635083226632,0.6139110395908208,0.5456292026897214,0.376657824933687,0.8511642542479547,0.4456649666535896,0.6834576823753492,0.5014115724216468,0.20436356961727142,0.5299999999999999,2705,473,940,568,next_forecast_extension_gt_30_days,30,temporal_2025_2026_holdout,xgboost,8037,4686,0.2462361577703123,0.3218096457533077,122,9,1
0.4588134869825011,0.5239957900219179,0.33734177215189876,0.7068965517241379,0.3410950283196979,0.45672664952870606,0.5689667692174148,0.39973071530100845,0.27278532182978527,0.44499999999999995,1084,2094,442,1066,next_forecast_extension_gt_30_days,30,temporal_2025_2026_holdout,logistic_l2_balanced,8037,4686,0.2462361577703123,0.3218096457533077,122,9,1
0.7811923786109404,0.7311324587777657,0.5535135135135135,0.6313193588162762,0.830945558739255,0.5898617511520737,0.8356985634993259,0.6006354108852825,0.15287319403572044,0.565,2030,413,299,512,next_forecast_extension_gt_60_days,60,project_group_holdout,lightgbm,9469,3254,0.24976238251135283,0.24923171481253842,122,9,1
0.718500307314075,0.7462167000711158,0.4626334519572954,0.8014796547472256,0.6909537453950061,0.5866425992779783,0.8239005932044701,0.5805351901647476,0.1726425685552715,0.4699999999999999,1688,755,161,650,next_forecast_extension_gt_60_days,60,project_group_holdout,catboost,9469,3254,0.24976238251135283,0.24923171481253842,122,9,1
0.7258758451137062,0.7412441395002103,0.4696174043510878,0.7718865598027127,0.7106017191977078,0.5839552238805971,0.8192280922417052,0.5642002664656729,0.17329420149326324,0.49499999999999994,1736,707,185,626,next_forecast_extension_gt_60_days,60,project_group_holdout,xgboost,9469,3254,0.24976238251135283,0.24923171481253842,122,9,1
0.7470805162876459,0.7463052794844527,0.49508196721311476,0.7447595561035758,0.7478510028653295,0.5947808961102905,0.817304833811393,0.5832670452185792,0.17909344217175832,0.5049999999999999,1827,616,207,604,next_forecast_extension_gt_60_days,60,project_group_holdout,random_forest_balanced,9469,3254,0.24976238251135283,0.24923171481253842,122,9,1
0.610940381069453,0.6358689589975738,0.3548181238034461,0.6855733662145499,0.5861645517805977,0.46761984861227923,0.6939624170924451,0.3992748729996663,0.22416169986732093,0.48999999999999994,1432,1011,255,556,next_forecast_extension_gt_60_days,60,project_group_holdout,logistic_l2_balanced,9469,3254,0.24976238251135283,0.24923171481253842,122,9,1
0.7163892445582587,0.6484054834054834,0.5222830336200156,0.481962481962482,0.8148484848484848,0.5013133208255159,0.7096652673925401,0.5142909427678749,0.19114775887259147,0.5099999999999999,2689,611,718,668,next_forecast_extension_gt_60_days,60,temporal_2025_2026_holdout,catboost,8037,4686,0.22271992036829663,0.29577464788732394,122,9,1
0.7176696542893726,0.58005772005772,0.5515548281505729,0.24314574314574314,0.916969696969697,0.33750625938908363,0.6806533954261227,0.4718458140383244,0.20632877453178933,0.61,3026,274,1049,337,next_forecast_extension_gt_60_days,60,temporal_2025_2026_holdout,lightgbm,8037,4686,0.22271992036829663,0.29577464788732394,122,9,1
0.7140418267178831,0.582922077922078,0.5338235294117647,0.2619047619047619,0.9039393939393939,0.3514036786060019,0.6714399405308497,0.457320171869699,0.22036632531383663,0.5249999999999999,2983,317,1023,363,next_forecast_extension_gt_60_days,60,temporal_2025_2026_holdout,random_forest_balanced,8037,4686,0.22271992036829663,0.29577464788732394,122,9,1
0.685872812633376,0.58991341991342,0.45981308411214955,0.354978354978355,0.8248484848484848,0.4006514657980456,0.6646382657746295,0.4466980558602474,0.20713195204734802,0.49999999999999994,2722,578,894,492,next_forecast_extension_gt_60_days,60,temporal_2025_2026_holdout,xgboost,8037,4686,0.22271992036829663,0.29577464788732394,122,9,1
0.44835680751173707,0.518989898989899,0.30766762913057427,0.6919191919191919,0.34606060606060607,0.42593826337996893,0.5721341116795663,0.37603681905074193,0.2723509321929842,0.44499999999999995,1142,2158,427,959,next_forecast_extension_gt_60_days,60,temporal_2025_2026_holdout,logistic_l2_balanced,8037,4686,0.22271992036829663,0.29577464788732394,122,9,1
0.8005531653349723,0.7264766103061593,0.5369897959183674,0.5954738330975955,0.8574793875147232,0.5647216633132126,0.8285760933488604,0.5573665480461507,0.14892383699384257,0.59,2184,363,286,421,next_forecast_extension_gt_90_days,90,project_group_holdout,lightgbm,9469,3254,0.21818565846446297,0.21727105101413643,122,9,1
0.7446220036877689,0.7438823387639117,0.44718909710391824,0.7425742574257426,0.7451904201020809,0.5582137161084529,0.8190871585896601,0.5357146423947601,0.17173233850319697,0.5199999999999999,1898,649,182,525,next_forecast_extension_gt_90_days,90,project_group_holdout,catboost,9469,3254,0.21818565846446297,0.21727105101413643,122,9,1
0.7664413030116779,0.7419822749564204,0.4745437079731028,0.6987270155586988,0.7852375343541421,0.5652173913043478,0.816560959478078,0.5386930016728921,0.17621530146294592,0.5149999999999999,2000,547,213,494,next_forecast_extension_gt_90_days,90,project_group_holdout,random_forest_balanced,9469,3254,0.21818565846446297,0.21727105101413643,122,9,1
0.7317148125384143,0.7366591530430175,0.4319672131147541,0.7454031117397454,0.7279151943462897,0.5469641930461858,0.8151570836033629,0.5303057113119287,0.1719750165939331,0.49999999999999994,1854,693,180,527,next_forecast_extension_gt_90_days,90,project_group_holdout,xgboost,9469,3254,0.21818565846446297,0.21727105101413643,122,9,1
0.594960049170252,0.6324416389140176,0.3089430894308943,0.6987270155586988,0.5661562622693365,0.4284475281873374,0.696580662609421,0.36834548149092106,0.22331975458410191,0.48499999999999993,1442,1105,213,494,next_forecast_extension_gt_90_days,90,project_group_holdout,logistic_l2_balanced,9469,3254,0.21818565846446297,0.21727105101413643,122,9,1
0.7364489970123773,0.6176216641161619,0.47761194029850745,0.3755238893545683,0.8597194388777555,0.42045987799155327,0.7078684971427708,0.4390266522823345,0.1769778213097547,0.5049999999999999,3003,490,745,448,next_forecast_extension_gt_90_days,90,temporal_2025_2026_holdout,catboost,8037,4686,0.19659076769939032,0.254588134869825,122,9,1
0.7398634229620145,0.5876236966808722,0.4811046511627907,0.2774518021793797,0.8977955911823647,0.3519404572036151,0.6782963604133185,0.4109924763561966,0.2160183938937894,0.5149999999999999,3136,357,862,331,next_forecast_extension_gt_90_days,90,temporal_2025_2026_holdout,random_forest_balanced,8037,4686,0.19659076769939032,0.254588134869825,122,9,1
0.7428510456679471,0.5733455895145578,0.4892086330935252,0.22799664710813075,0.9186945319209848,0.3110348770726129,0.6730574068745803,0.41455022466971997,0.19207622384694062,0.6,3209,284,921,272,next_forecast_extension_gt_90_days,90,temporal_2025_2026_holdout,lightgbm,8037,4686,0.19659076769939032,0.254588134869825,122,9,1
0.685232607767819,0.5956858034113971,0.388801261829653,0.413243922883487,0.7781276839393072,0.40065014221861034,0.6576695481731034,0.39103227094824716,0.20224107801914215,0.4699999999999999,2718,775,700,493,next_forecast_extension_gt_90_days,90,temporal_2025_2026_holdout,xgboost,8037,4686,0.19659076769939032,0.254588134869825,122,9,1
0.4387537345283824,0.5272199290210166,0.27008,0.7074601844090528,0.34697967363298027,0.3909217230199166,0.5857115980254126,0.33872296932914825,0.2674180182960043,0.44499999999999995,1212,2281,349,844,next_forecast_extension_gt_90_days,90,temporal_2025_2026_holdout,logistic_l2_balanced,8037,4686,0.19659076769939032,0.254588134869825,122,9,1
