application_family,flagged_count,flagged_true_high_carbon_count,median_current_gwp_per_ksi_true_high_carbon,median_relative_reduction_to_p25_true_high_carbon,share_true_high_carbon_with_10pct_opportunity
other_or_unspecified,1448,471,141.75,0.367816091954023,0.9278131634819533
filler,360,251,287.6666666666667,0.2755905511811024,0.7611336032388664
paving,45,20,152.83333333333331,0.279205069124424,0.75
structural,42,8,138.0,0.3385016025641026,1.0
hardscape,28,6,133.33333333333334,0.40493848749177086,1.0
infrastructure,3,0,,,
