split,custom_algorithm,custom_auc,custom_accuracy,custom_balanced_accuracy,custom_f1,best_sota_auc_algorithm,best_sota_auc,best_sota_auc_accuracy,best_sota_auc_balanced_accuracy,best_sota_auc_f1,auc_delta_vs_best_sota,beats_best_sota_auc,best_sota_balanced_accuracy_algorithm,best_sota_balanced_accuracy,balanced_accuracy_delta_vs_best_sota,beats_best_sota_balanced_accuracy
group_company,CARM-Boost fixed single model,0.9400372425132534,0.9207089552238806,0.8064330278581483,0.6199701937406855,XGBoost GPU,0.9399811146120736,0.9228855721393034,0.8275915957822634,0.6416184971098265,5.6127901179814366e-05,True,XGBoost GPU,0.8275915957822634,-0.02115856792411508,False
temporal_latest20,CARM-Boost fixed single model,0.9574059807110653,0.9225632464363683,0.8602493649039618,0.6280074028377545,XGBoost GPU,0.9565980598659078,0.9260305637601132,0.8593341175839893,0.6368221941992434,0.0008079208451574615,True,XGBoost GPU,0.8593341175839893,0.0009152473199725009,True
