algorithm,split,n_test,base_positive_rate,roc_auc,average_precision,fit_seconds,top_5pct_precision,top_5pct_recall_capture,top_5pct_lift,top_10pct_precision,top_10pct_recall_capture,top_10pct_lift,top_20pct_precision,top_20pct_recall_capture,top_20pct_lift,top_30pct_precision,top_30pct_recall_capture,top_30pct_lift
Domain-feature LightGBM single model,group_company,9825,0.11501272264631043,0.9411749199774053,0.7865118700214567,76.757,0.9390243902439024,0.4088495575221239,8.164526224908267,0.7690742624618515,0.6690265486725664,6.686862503263443,0.4712468193384224,0.8194690265486726,4.097345132743363,0.3548168249660787,0.9256637168141593,3.085022394063472
Domain-feature LightGBM single model,group_epd_source,4574,0.10909488412767818,0.9512492469601781,0.7937708180901538,79.567,0.9213973799126638,0.4228456913827655,8.445834901243536,0.7467248908296943,0.685370741482966,6.844728758827699,0.4721311475409836,0.8657314629258517,4.327711160024968,0.3415877640203933,0.9398797595190381,3.1311070794173927
Domain-feature LightGBM single model,temporal_latest20,9629,0.08432859071554678,0.9650455540712606,0.8102209762336766,74.32,0.8879668049792531,0.5270935960591133,10.529842814218261,0.6687435098650052,0.7931034482758621,7.930210907007556,0.3925233644859813,0.9310344827586207,4.654689010634869,0.2706818968501212,0.9630541871921182,3.2098472718840108
