feature_set,split,target_quantile,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1_ci_low,f1_ci_high
metadata_only,group_company,0.9,0.9282618672131568,0.9511143903854659,0.6408394536949984,0.7326806163063359,0.912002487562189,0.9309701492537313,0.766323423221635,0.8208138666354013,0.5639760773007091,0.6500812693498452
metadata_only,temporal_latest20,0.9,0.9288468745775117,0.9450281333122937,0.6538790950123973,0.7116473352945327,0.8904584564016952,0.9036856298959804,0.8188010033767293,0.8483341948815271,0.5214610366675778,0.5770071089341624
metadata_plus_lci_sources,group_company,0.9,0.9271377025040818,0.9504451244860972,0.6477151092428423,0.7390874728504813,0.9132462686567164,0.9322139303482587,0.8009619186568404,0.8518895369218794,0.596044593573505,0.6799537771589548
metadata_plus_lci_sources,temporal_latest20,0.9,0.9495730750774027,0.9631312815484983,0.7341999514243598,0.7900196195662773,0.9203062796969308,0.9321401053037114,0.8420846094995043,0.8748665782399825,0.6095361220094988,0.6639882513314003
