feature_set,split,target_quantile,n_train,n_test,test_positive_rate,majority_class_accuracy,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,seed,fit_seconds
metadata_only,group_company_seed_0,0.9,24263,14567,0.12205670350792888,0.8779432964920711,0.9158414047645873,0.6729915178126025,0.8769822200864968,0.8207442357882605,0.5969410706252811,0.49737631184407793,0.7463442069741283,0.8951442646023927,0,12.312
metadata_only,group_company_seed_1,0.9,36429,2401,0.06705539358600583,0.9329446064139941,0.9229577972493346,0.5694233042425211,0.9346105789254477,0.7804833074534161,0.5527065527065527,0.5105263157894737,0.6024844720496895,0.9584821428571428,1,12.235
metadata_only,group_company_seed_2,0.9,30767,8063,0.0791268758526603,0.9208731241473397,0.95974488880445,0.8060032484975493,0.8639464219273223,0.8630883548124928,0.5006827492034592,0.3527902501603592,0.8620689655172413,0.8641077441077442,2,11.684
metadata_only,group_company_seed_3,0.9,37113,1717,0.10017472335468841,0.8998252766453116,0.9577086626025437,0.7953011576673904,0.8916715200931858,0.895888838714533,0.625,0.4783950617283951,0.9011627906976745,0.8906148867313916,3,12.535
metadata_only,group_company_seed_4,0.9,29845,8985,0.1219810795770729,0.8780189204229271,0.9327219111337695,0.7498721707262571,0.9401224262659988,0.8244848921116255,0.7323383084577114,0.8052516411378556,0.6715328467153284,0.9774369375079224,4,11.978
metadata_only,group_company_seed_5,0.9,27666,11164,0.10094948047294876,0.8990505195270513,0.9086687154599853,0.7088177916777572,0.8262271587244715,0.8080482869991501,0.477088948787062,0.3426248548199768,0.7852706299911268,0.8308259440071735,5,11.305
metadata_only,group_company_seed_6,0.9,36829,2001,0.04597701149425287,0.9540229885057472,0.9477332771539846,0.7507965449743232,0.8990504747626187,0.910882661079099,0.45698924731182794,0.30357142857142855,0.9239130434782609,0.8978522786799371,6,12.328
metadata_only,group_company_seed_7,0.9,31228,7602,0.07419100236779795,0.925808997632202,0.9688900074368323,0.8545758064639475,0.8592475664298869,0.8881028822259709,0.4928909952606635,0.33635187580853815,0.9219858156028369,0.8542199488491049,7,11.689
metadata_only,group_company_seed_8,0.9,28375,10455,0.10760401721664276,0.8923959827833572,0.9399474097892103,0.757772052167671,0.9491152558584409,0.822183637013219,0.736372646184341,0.832026875699888,0.6604444444444444,0.9839228295819936,8,11.586
metadata_only,group_company_seed_9,0.9,36385,2445,0.0768916155419223,0.9231083844580777,0.9035942552248796,0.6276944905660868,0.8433537832310839,0.8078790335504671,0.42921013412816694,0.2981366459627329,0.7659574468085106,0.8498006202924235,9,12.287
metadata_plus_lci_sources,group_company_seed_0,0.9,24263,14567,0.12205670350792888,0.8779432964920711,0.9448995687643197,0.7536003171434045,0.9139836617011052,0.8473857639716218,0.6830255502150265,0.6206896551724138,0.7592800899887514,0.9354914379544922,0,25.296
metadata_plus_lci_sources,group_company_seed_1,0.9,36429,2401,0.06705539358600583,0.9329446064139941,0.9412585958296362,0.5718602185497274,0.9208663057059558,0.8048233695652174,0.5320197044334976,0.44081632653061226,0.6708074534161491,0.9388392857142858,1,29.231
metadata_plus_lci_sources,group_company_seed_2,0.9,30767,8063,0.0791268758526603,0.9208731241473397,0.9756300729341482,0.8621900677300272,0.9232295671586258,0.9110368048299082,0.6488939307997731,0.5084444444444445,0.896551724137931,0.9255218855218855,2,26.838
metadata_plus_lci_sources,group_company_seed_3,0.9,37113,1717,0.10017472335468841,0.8998252766453116,0.9464250771430722,0.8035119784967054,0.9196272568433314,0.9062561149996238,0.6891891891891891,0.5625,0.8895348837209303,0.9229773462783172,3,29.049
metadata_plus_lci_sources,group_company_seed_4,0.9,29845,8985,0.1219810795770729,0.8780189204229271,0.9266932358925345,0.7088913646152751,0.9055091819699499,0.7788474527499716,0.6121516674280494,0.6129917657822507,0.6113138686131386,0.9463810368868044,4,26.671
metadata_plus_lci_sources,group_company_seed_5,0.9,27666,11164,0.10094948047294876,0.8990505195270513,0.9363870537927149,0.7481959588574808,0.8683267646005016,0.8460337390519319,0.5564272782136391,0.42158207590306357,0.8181011535048802,0.8739663245989837,5,25.317
metadata_plus_lci_sources,group_company_seed_6,0.9,36829,2001,0.04597701149425287,0.9540229885057472,0.9776914842735783,0.7415178776338122,0.9235382308845578,0.9185437401781037,0.5233644859813084,0.36681222707423583,0.9130434782608695,0.9240440020953379,6,29.072
metadata_plus_lci_sources,group_company_seed_7,0.9,31228,7602,0.07419100236779795,0.925808997632202,0.97887065454201,0.8908327078422695,0.934227834780321,0.9237044494023327,0.6727748691099477,0.533195020746888,0.9113475177304965,0.9360613810741688,7,27.152
metadata_plus_lci_sources,group_company_seed_8,0.9,28375,10455,0.10760401721664276,0.8923959827833572,0.9454715731808979,0.719726437055713,0.9407938785270206,0.7737456234369418,0.6709197235513025,0.8346560846560847,0.5608888888888889,0.9866023579849946,8,26.689
metadata_plus_lci_sources,group_company_seed_9,0.9,36385,2445,0.0768916155419223,0.9231083844580777,0.908850950706549,0.6164078401770173,0.8425357873210634,0.8098740089932974,0.42962962962962964,0.29774127310061604,0.7712765957446809,0.8484714222419141,9,29.354
