row_index,y_true,domain_lgbm_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
31960,1,0.9811375159381872,0.10909488412767818,HAWAIIAN CEMENT,Halawa Plant #1,HI,Hawaii,filler,3000.0,3000,28.0,standard_28,217.66666666666666,strict_group,6.0,161.25,149.66666666666666,56.41666666666666,0.2591883614088821,68.0,0.3124042879019908,True,True,True
36373,1,0.9799842262332222,0.10909488412767818,National Ready Mix,Irvine Plant,CA,Pacific Southwest Region,filler,2000.0,2000,28.0,standard_28,192.0,strict_group,11.0,170.5,139.5,21.5,0.11197916666666667,52.5,0.2734375,True,True,False
44194,1,0.9799518466713014,0.10909488412767818,Thomas Concrete,Alpharetta Plant,GA,Southeastern Region,filler,2000.0,2000,28.0,standard_28,193.5,national_spec_group,33.0,139.5,126.5,54.0,0.27906976744186046,67.0,0.3462532299741602,True,True,True
33721,1,0.9798218282838213,0.10909488412767818,Knife River Corporation,Linnton Plant,OR,Pacific Northwest Region,other_or_unspecified,4000.0,4000,28.0,standard_28,163.75,strict_group,362.0,78.0,67.275,85.75,0.5236641221374045,96.475,0.5891603053435114,True,True,True
32905,1,0.9791879897373402,0.10909488412767818,Holcim - Aggregate Industries,Rockville East Plant,MD,Eastern Region,other_or_unspecified,3000.0,3000,3.0,early,138.66666666666666,strict_group,6.0,135.58333333333334,135.16666666666669,3.0833333333333144,0.02223557692307679,3.4999999999999716,0.02524038461538441,True,False,False
33816,1,0.9779432899250248,0.10909488412767818,Knife River Corporation,Prineville (Oregon) Plant,OR,Pacific Northwest Region,filler,2000.0,2000,28.0,standard_28,199.5,strict_group,19.0,130.5,125.8,69.0,0.3458646616541353,73.7,0.3694235588972431,True,True,True
31971,1,0.9773767255100888,0.10909488412767818,HAWAIIAN CEMENT,Halawa Plant #3,HI,Hawaii,filler,3000.0,3000,28.0,standard_28,196.0,strict_group,6.0,161.25,149.66666666666666,34.75,0.17729591836734693,46.33333333333334,0.2363945578231293,True,True,False
33593,1,0.9772451949629936,0.10909488412767818,Knife River Corporation,Eugene (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,3.0,early,181.66666666666666,strict_group,9.0,171.66666666666666,119.93333333333334,10.0,0.05504587155963303,61.73333333333332,0.3398165137614678,True,False,False
32724,1,0.976356312504112,0.10909488412767818,Holcim - Aggregate Industries,Manassas Plant,VA,Eastern Region,other_or_unspecified,3000.0,3000,3.0,early,141.33333333333334,strict_group,6.0,135.58333333333334,135.16666666666669,5.75,0.04068396226415094,6.166666666666657,0.04363207547169804,True,False,False
677,1,0.9748153242007082,0.10909488412767818,American Rock Products (ARP),Richland Plant,WA,Pacific Northwest Region,filler,2000.0,2000,28.0,standard_28,147.0,strict_group,19.0,130.5,125.8,16.5,0.11224489795918367,21.200000000000003,0.14421768707482996,True,True,False
32528,0,0.9744022655952947,0.10909488412767818,Holcim - Aggregate Industries,Fort Totten (DC) Plant,DC,Eastern Region,structural,2000.0,2000,28.0,standard_28,73.0,regional_strength_group,16.0,84.375,81.5,0.0,0.0,0.0,0.0,True,False,False
32098,0,0.973712926016178,0.10909488412767818,Holcim - Aggregate Industries,Beltsville Plant,MD,Eastern Region,other_or_unspecified,2000.0,2000,28.0,standard_28,84.5,strict_group,14.0,85.75,82.95,0.0,0.0,1.5499999999999972,0.018343195266272157,True,False,False
36372,1,0.9735529207743484,0.10909488412767818,National Ready Mix,Irvine Plant,CA,Pacific Southwest Region,filler,2500.0,2500,28.0,standard_28,154.4,strict_group,5.0,135.6,131.04,18.80000000000001,0.12176165803108815,23.360000000000014,0.15129533678756485,True,True,False
676,1,0.9729195149071708,0.10909488412767818,American Rock Products (ARP),Richland Plant,WA,Pacific Northwest Region,filler,2000.0,2000,28.0,standard_28,177.0,strict_group,19.0,130.5,125.8,46.5,0.2627118644067797,51.2,0.28926553672316385,True,True,True
44176,1,0.9728609036574264,0.10909488412767818,Thomas Concrete,Airport Plant,NC,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,157.66666666666666,strict_group,162.0,74.91666666666666,64.36666666666666,82.75,0.5248414376321353,93.3,0.591754756871036,True,True,True
32658,0,0.9725115303597418,0.10909488412767818,Holcim - Aggregate Industries,Kirby Road Plant,MD,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,89.75,strict_group,176.0,67.25,51.125,22.5,0.25069637883008355,38.625,0.43036211699164345,True,True,True
32302,1,0.971428750171576,0.10909488412767818,Holcim - Aggregate Industries,Everett Plant,MA,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,129.5,strict_group,176.0,67.25,51.125,62.25,0.4806949806949807,78.375,0.6052123552123552,True,True,True
22381,1,0.9706144191805366,0.10909488412767818,CTI Ready Mix,CTI Ready Mix West Des Moines Plant,IA,North Central Region,other_or_unspecified,1500.0,1500,28.0,standard_28,166.0,national_spec_group,7.0,149.66666666666669,132.4,16.333333333333314,0.09839357429718865,33.599999999999994,0.20240963855421684,True,False,False
32484,0,0.9697927657023622,0.10909488412767818,Holcim - Aggregate Industries,Fort Totten (DC) Plant,DC,Eastern Region,other_or_unspecified,2000.0,2000,28.0,standard_28,82.5,strict_group,14.0,85.75,82.95,0.0,0.0,0.0,0.0,True,False,False
32643,0,0.9697927657023622,0.10909488412767818,Holcim - Aggregate Industries,Kirby Road Plant,MD,Eastern Region,other_or_unspecified,2000.0,2000,28.0,standard_28,89.5,strict_group,14.0,85.75,82.95,3.75,0.04189944134078212,6.549999999999997,0.0731843575418994,True,False,False
32876,1,0.968588398094545,0.10909488412767818,Holcim - Aggregate Industries,REXCON Plant 8,MD,Eastern Region,other_or_unspecified,2000.0,2000,28.0,standard_28,127.5,strict_group,14.0,85.75,82.95,41.75,0.32745098039215687,44.55,0.3494117647058823,True,True,True
32291,1,0.9679950512273056,0.10909488412767818,Holcim - Aggregate Industries,Everett Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,159.0,strict_group,65.0,79.33333333333333,59.666666666666664,79.66666666666667,0.5010482180293502,99.33333333333334,0.6247379454926625,True,True,True
