split,metric,point_estimate,block_issue_quarter,cluster_company,cluster_plant,cluster_source,row_level
group_company,top_10pct_capture,0.6991150442477876,0.21726189478573543,0.2730127716202331,0.22273652313454184,0.2749293241459312,0.04690760585779796
group_company,top_10pct_lift,6.994710091379341,2.152833634996597,2.7336244715356424,2.226873336269109,2.7434758064959173,0.46931489567501306
group_company,top_10pct_median_opportunity,0.17676767676767663,0.20707030904207377,0.13658137908396978,0.03846326617703208,0.13760302865062676,0.009475332897515842
group_company,top_10pct_precision,0.8044806517311609,0.5353666684906513,0.5382503951166921,0.15587108153687657,0.4913064644227522,0.07741853360488804
group_company,top_10pct_review_saving,0.85703481817889,0.03493510243720421,0.04287702582745645,0.047295007834613934,0.04305391118503976,0.009562677057756042
group_company,top_10pct_share_opportunity_ge_10,0.7834394904458599,0.36594275512431923,0.3414370404000282,0.13300676395463207,0.33519502735700557,0.058044823117297195
group_company,top_20pct_capture,0.8716814159292036,0.13137180507643165,0.1391450961675894,0.1273266692867926,0.13863359645916407,0.039778925847614
group_company,top_20pct_lift,4.3584070796460175,0.662674924266887,0.69545087088306,0.6370512240555177,0.6947297802831347,0.1988946292380689
group_company,top_20pct_median_opportunity,0.18574324324324318,0.13932315668202774,0.14496597196154903,0.058329249519205234,0.13969461923673526,0.012122296462509424
group_company,top_20pct_precision,0.5012722646310432,0.37846473790176427,0.3618482990325177,0.1814033108792346,0.3399416901803196,0.05243002544529257
group_company,top_20pct_review_saving,0.7705583756345178,0.030977455733316894,0.032767569069854896,0.0337301230193785,0.03276679992066711,0.010449699991581962
group_company,top_20pct_share_opportunity_ge_10,0.813265306122449,0.3097718422152489,0.31362152713299185,0.1318148383809692,0.30450565753466774,0.049250980275633904
group_epd_source,top_10pct_capture,0.6993987975951904,0.3133066391978788,0.4090265449444254,0.196843500003557,0.4154030952880771,0.0729264102537065
group_epd_source,top_10pct_lift,7.000109628447267,3.134635157410166,4.0960176064514,1.971845407750342,4.163139802105861,0.7299024080972716
group_epd_source,top_10pct_median_opportunity,0.29072681704260667,0.19107058429898555,0.23413870944061074,0.12422206285176687,0.1823485427007764,0.07449458733296838
group_epd_source,top_10pct_precision,0.7636761487964989,0.17059611069575809,0.29811550480658855,0.15214086691434903,0.3027377548738637,0.09846827133479219
group_epd_source,top_10pct_review_saving,0.857145094423069,0.06602623983470524,0.09481685534430728,0.0422233836534287,0.09725274116499694,0.014934159611406095
group_epd_source,top_10pct_share_opportunity_ge_10,0.6811594202898551,0.24227739747785204,0.2677432621007171,0.14242044825440425,0.2034429517349854,0.09936200989075017
group_epd_source,top_20pct_capture,0.8937875751503006,0.15552565624270942,0.20577070746854553,0.11260527254465746,0.2290193090722521,0.05248952774450977
group_epd_source,top_20pct_lift,4.467961058729481,0.7759309745989347,1.0291570682760836,0.5608874692491685,1.1419853855547952,0.26239027311845575
group_epd_source,top_20pct_median_opportunity,0.3217693148583759,0.10262339313947894,0.19461280693907693,0.07453558408671551,0.12732902925736408,0.05241513561576033
group_epd_source,top_20pct_precision,0.48743169398907105,0.2144824403498199,0.3568498946031177,0.16190289815111686,0.35491777351533554,0.07762295081967213
group_epd_source,top_20pct_review_saving,0.7761842623837992,0.040361301757786516,0.05665959373184892,0.028816215774138176,0.06432855770399637,0.013178102782218648
group_epd_source,top_20pct_share_opportunity_ge_10,0.748868778280543,0.2173169049080762,0.2500644826389603,0.12207238060023018,0.19787059649626648,0.08351259144226164
temporal_latest20,top_10pct_capture,0.7857142857142857,0.0893456119399666,0.2147159510692893,0.12052528165410792,0.20240180692711873,0.05505514274698009
temporal_latest20,top_10pct_lift,7.856326954457796,0.8945835948025538,2.144593790406301,1.2005092494373395,2.0237172365760454,0.5504942570204294
temporal_latest20,top_10pct_median_opportunity,0.32296357098186357,0.04663814029503183,0.08655521896275986,0.03696967158678183,0.08084151009559754,0.025532139993798775
temporal_latest20,top_10pct_precision,0.6625129802699896,0.2030530559547673,0.2859441664608947,0.1320629765499064,0.2636830881469321,0.0747923156801662
temporal_latest20,top_10pct_review_saving,0.8727140550798251,0.014149347774163656,0.03568782453349861,0.01984484407228504,0.033933771691732395,0.008891009456586052
temporal_latest20,top_10pct_share_opportunity_ge_10,0.8517350157728707,0.12430476718308792,0.16221772940135049,0.07590408698783013,0.1500439428655299,0.05600199656946003
temporal_latest20,top_20pct_capture,0.9408866995073891,0.06835772534006102,0.09747423904840857,0.06284130635535434,0.09087527372827531,0.033411433868051454
temporal_latest20,top_20pct_lift,4.703944979001376,0.3398643720668364,0.4866687576330637,0.31363960797257295,0.4527680530453164,0.1670398217629634
temporal_latest20,top_20pct_median_opportunity,0.32500000000000007,0.042924190952976726,0.09936273338025686,0.037968640144060206,0.09579028501093156,0.023157148418373352
temporal_latest20,top_20pct_precision,0.39667705088265837,0.15807778611816214,0.2383330060435927,0.10870157516413903,0.21702156880413287,0.05196002076843198
temporal_latest20,top_20pct_review_saving,0.7874124794265143,0.01580254403429937,0.022555544884624856,0.014435039265076832,0.02101191943167613,0.007575728485287869
temporal_latest20,top_20pct_share_opportunity_ge_10,0.8710526315789474,0.13011314844932886,0.15701728062504816,0.0686184037673987,0.1396726255159202,0.04757266580113306
