model,seed,roc_auc,average_precision,spearman_prob_vs_ci,top_10pct_capture,top_10pct_precision,top_10pct_lift,top_20pct_capture,top_20pct_precision,top_20pct_lift
"ACRM pipeline, refit within external corpus",0,0.537008547008547,0.10824079972080783,0.06418255480874152,0.07692307692307693,0.08,0.7723076923076923,0.11538461538461539,0.06,0.5792307692307692
"Strength-only logistic, within external corpus",0,0.4884615384615385,0.12737660655415337,0.1520698186494729,0.11538461538461539,0.12,1.1584615384615384,0.23076923076923078,0.12,1.1584615384615384
"ACRM pipeline, refit within external corpus",1,0.5382051282051282,0.1102768308167463,0.06616435510531535,0.0,0.0,0.0,0.19230769230769232,0.1,0.9653846153846154
"Strength-only logistic, within external corpus",1,0.4884615384615385,0.12737660655415337,0.1520698186494729,0.11538461538461539,0.12,1.1584615384615384,0.23076923076923078,0.12,1.1584615384615384
"ACRM pipeline, refit within external corpus",2,0.5236752136752136,0.10439012360720543,0.04465104384261443,0.0,0.0,0.0,0.11538461538461539,0.06,0.5792307692307692
"Strength-only logistic, within external corpus",2,0.4884615384615385,0.12737660655415337,0.1520698186494729,0.11538461538461539,0.12,1.1584615384615384,0.23076923076923078,0.12,1.1584615384615384
"ACRM pipeline, refit within external corpus",3,0.530854700854701,0.10974942937204649,0.0489394442735332,0.07692307692307693,0.08,0.7723076923076923,0.19230769230769232,0.1,0.9653846153846154
"Strength-only logistic, within external corpus",3,0.4884615384615385,0.12737660655415337,0.1520698186494729,0.11538461538461539,0.12,1.1584615384615384,0.23076923076923078,0.12,1.1584615384615384
"ACRM pipeline, refit within external corpus",4,0.5303418803418803,0.10721050758036085,0.06271754792666769,0.0,0.0,0.0,0.15384615384615385,0.08,0.7723076923076923
"Strength-only logistic, within external corpus",4,0.4884615384615385,0.12737660655415337,0.1520698186494729,0.11538461538461539,0.12,1.1584615384615384,0.23076923076923078,0.12,1.1584615384615384
