row_index,y_true,model_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
4012,1,0.4267374472297563,0.08432859071554678,Cadman / Heidelberg Materials,Port of Portland Plant,OR,Pacific Northwest Region,other_or_unspecified,2000.0,2000,28.0,standard_28,156.5,strict_group,14.0,122.625,99.0,33.875,0.21645367412140576,57.5,0.36741214057507987,True,True,True
3270,1,0.4248775109118612,0.08432859071554678,Cadman / Heidelberg Materials,Orchards Plant,WA,Pacific Northwest Region,other_or_unspecified,2000.0,2000,28.0,standard_28,181.5,strict_group,14.0,122.625,99.0,58.875,0.3243801652892562,82.5,0.45454545454545453,True,True,True
42656,0,0.4236344038864728,0.08432859071554678,Schuster Concrete,Portable 18 Plant,DC,Eastern Region,other_or_unspecified,4500.0,4500,28.0,standard_28,87.55555555555556,strict_group,203.0,70.0,58.577777777777776,17.555555555555557,0.200507614213198,28.97777777777778,0.3309644670050762,True,True,True
5411,0,0.4223514931549126,0.08432859071554678,CEMEX,Athens Plant,AL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,110.66666666666667,strict_group,701.0,91.66666666666667,82.66666666666667,19.0,0.1716867469879518,28.0,0.25301204819277107,True,True,False
33960,0,0.417975665084116,0.08432859071554678,Knife River Corporation,Wheatland (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3500.0,3500,28.0,standard_28,122.0,strict_group,339.0,68.59126984126985,58.0,53.40873015873015,0.43777647671090286,64.0,0.5245901639344263,True,True,True
1983,0,0.4177833782787595,0.08432859071554678,Bonded Concrete Inc. / The Clemente Group,Colonie Plant,NY,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,105.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,14.0,0.1329113924050633,26.26666666666665,0.2493670886075948,True,True,False
9136,1,0.4163073760681944,0.08432859071554678,CEMEX,Lake Wales Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,138.0,strict_group,701.0,91.66666666666667,82.66666666666667,46.33333333333333,0.3357487922705314,55.33333333333333,0.4009661835748792,True,True,True
6483,0,0.4149087259305385,0.08432859071554678,CEMEX,Columbus - Smith Rd (Vulcan Quarry) Plant,GA,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,100.33333333333333,strict_group,701.0,91.66666666666667,82.66666666666667,8.666666666666657,0.08637873754152815,17.666666666666657,0.176079734219269,True,False,False
4616,0,0.4110070997041603,0.08432859071554678,Cape Cod Ready Mix,Dennis Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,115.66666666666667,strict_group,295.0,91.33333333333333,79.06666666666668,24.333333333333343,0.21037463976945253,36.599999999999994,0.31642651296829966,True,True,True
4686,0,0.4110070997041603,0.08432859071554678,Cape Cod Ready Mix,Sandwich Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,106.66666666666667,strict_group,295.0,91.33333333333333,79.06666666666668,15.333333333333343,0.14375000000000007,27.599999999999994,0.2587499999999999,True,True,False
