algorithm,split,selected_candidate,threshold_from_inner_training,n_train,n_test,test_positive_rate,fit_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity
Pareto-CARM thresholded single model,group_company,CARM_Boost_fixed_domain_10k,0.7576183824539172,37092,9825,0.11501272264631043,95.714,0.954266718233956,0.8018715595176092,0.9508396946564885,0.8247805421689812,0.7556904400606981,0.8819362455726092,0.6610619469026549,0.9884991374353076
Pareto-CARM thresholded single model,group_epd_source,CARM_Boost_fixed_domain_10k,0.7796329520146049,42343,4574,0.10909488412767818,76.962,0.9524182106544375,0.7824349840628895,0.939658941845212,0.8236876206400532,0.7094736842105264,0.7472283813747228,0.6753507014028056,0.9720245398773006
Pareto-CARM thresholded single model,temporal_latest20,CARM_Boost_fixed_domain_10k,0.5144841540813437,37288,9629,0.08432859071554678,70.06,0.9608784474238359,0.7904370308119277,0.9393498805691142,0.8807877024400355,0.6926315789473684,0.6047794117647058,0.8103448275862069,0.9512305772938642
