algorithm,split,threshold,fit_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity
Domain-feature LightGBM single model,group_company,0.5,77.354,0.9406310207778859,0.7860930095572918,0.9389312977099237,0.8161276697522226,0.7120921305182342,0.7777777777777778,0.6566371681415929,0.9756181713628522
Domain-feature LightGBM single model,group_epd_source,0.5,79.268,0.9498309502440463,0.7965073129609178,0.9405334499344119,0.8285749412936303,0.7154811715481172,0.7483588621444202,0.685370741482966,0.9717791411042945
Domain-feature LightGBM single model,temporal_latest20,0.5,73.195,0.9653887390626371,0.8103168566768141,0.9543047045383737,0.8481427364624206,0.7267080745341615,0.7330827067669173,0.7204433497536946,0.9758421231711466
