split,review_fraction,flagged_count,flagged_true_high_carbon_count,capture,precision,comparable_group_coverage_true_high_carbon,median_relative_reduction_to_p25_true_high_carbon,share_true_high_carbon_with_10pct_opportunity,share_true_high_carbon_with_20pct_opportunity,median_absolute_reduction_to_p25_true_high_carbon
temporal_latest20,0.1,963,638,0.7857142857142857,0.6625129802699896,0.9937304075235109,0.3248376623376623,0.8517350157728707,0.7618296529968455,55.90624999999999
temporal_latest20,0.2,1926,764,0.9408866995073891,0.39667705088265837,0.9947643979057592,0.327115278760714,0.8710526315789474,0.7894736842105263,53.33333333333333
group_company,0.1,983,790,0.6991150442477876,0.8036622583926755,0.9936708860759493,0.17676767676767674,0.7859872611464969,0.3681528662420382,24.0
group_company,0.2,1965,985,0.8716814159292036,0.5012722646310432,0.9949238578680203,0.18703241895261835,0.8153061224489796,0.44693877551020406,25.33333333333333
group_epd_source,0.1,458,349,0.6993987975951904,0.7620087336244541,0.997134670487106,0.29080067087871775,0.6896551724137931,0.5977011494252874,54.50000000000001
group_epd_source,0.2,915,446,0.8937875751503006,0.48743169398907105,0.9977578475336323,0.32458233890214794,0.755056179775281,0.6741573033707865,52.33333333333333
