split,candidate,threshold,fit_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity
group_company,CARM_Boost_A,0.612624539136886,29.137,0.9891271637084457,0.9170304953913444,0.9657924743443558,0.9489186669243976,0.8044692737430168,0.7093596059113301,0.9290322580645162,0.9688050757842792
group_company,CARM_Boost_B,0.2782974779605864,47.863,0.9909091081370978,0.9187032085825216,0.9244176575989574,0.9512145572522845,0.6632801161103048,0.5005476451259584,0.9827956989247312,0.9196334155798379
group_company,CARM_Boost_C,0.5702853798866272,37.796,0.9873558317319902,0.9237087033933924,0.9604170060270403,0.9450235179520999,0.7800904977375566,0.6734375,0.9268817204301075,0.9631653154740923
group_company,CARM_Boost_D,0.42730651378631535,47.614,0.9907288859578307,0.9257199379710267,0.9529239289786611,0.9478799731656566,0.751931330472103,0.6257142857142857,0.9419354838709677,0.9538244624603455
group_company,CARM_Boost_E,0.5563473284244537,32.317,0.9899644103835266,0.9219074424769969,0.966118260302981,0.9500820569964485,0.8063314711359404,0.7110016420361248,0.9311827956989247,0.9689813182939725
temporal_latest20,CARM_Boost_A,0.5962843986352283,26.183,0.9528162714015633,0.8013511435074497,0.9029868578255675,0.8741073507606294,0.6463414634146342,0.526241134751773,0.837471783295711,0.9107429182255479
temporal_latest20,CARM_Boost_B,0.45631270630793125,42.306,0.9519509943258937,0.8087766066867146,0.8882915173237754,0.8763378427779112,0.6200731409995937,0.48444444444444446,0.8611738148984198,0.8915018706574025
temporal_latest20,CARM_Boost_C,0.5446040801929702,33.696,0.9566764251320802,0.8147329332090115,0.9039426523297491,0.8766319238755244,0.6498257839721254,0.5290780141843971,0.8419864559819413,0.9112773917691074
temporal_latest20,CARM_Boost_D,0.6157033190040874,40.801,0.95757133653374,0.8128540068264274,0.9124253285543608,0.8783902272176127,0.6687754179846362,0.557648831951771,0.835214446952596,0.9215660074826296
temporal_latest20,CARM_Boost_E,0.40457401943929283,27.818,0.9524720457065367,0.816316058677024,0.8743130227001195,0.8705112667746875,0.5931941221964424,0.4511764705882353,0.8656884875846501,0.8753340459647247
